YEAR, ,"Baltimore, Maryland","Charleston, South Carolina","Houston, Texas","Jacksonville, Florida","Lake Charles, Louisiana","Long Beach, California","Los Angeles, California","Miami, Florida","Mobile, Alabama","New Haven, Connecticut","New London, Connecticut","New Orleans, Louisiana",New York and Newark,"Norfolk, Virginia","Oakland, California","Philadelphia, Pennsylvania","Port Everglades, Florida","San Juan, Puerto Rico","Savannah, Georgia","Seattle, Washington","WESTWEGO, LA"
2006,,,,,,,,,,,,,,0,,,,,,,,9587.346939
2007,45275.91837,,,837138.7755,,,,0,0,,,,51758.36735,43471.42857,,,136220.4082,,3177.55102,14370.61224,0,
2008,,,,141033.0612,,,,,,,59197.55102,,,49119.18367,,,63548.16327,,,,,
2009,,,,236295.5102,,,,,,,16778.36735,,,158188.5714,108400,,86006.12245,,,,,
2010,,22642.85714,,72078.36735,,,,171.4285714,,13469.38776,,,,33217.55102,95262.44898,5960,55935.10204,,,3115.918367,,
2011,,,0,,,,,,,,,,,1620,119184.898,,,,,10928.16327,,
2012,,,,23391.42857,,,,,,,,,,117735.102,12531.02041,0,,,,,,
2013,,,,116741.6327,,,,,,,,2877.959184,,255513.4694,183562.8571,,2326.530612,,0,,,
2014,,,,72880.81633,,,8896.734694,,,,,,,123405.3061,21342.44898,8896.734694,,,,,,
2015,,,,145833.4694,,,,,,,,,14066.93878,335657.551,23569.79592,,20182.44898,,,,6953.061224,
2016,,,,17814.69388,,132653.0612,,1222.44898,,,,,,246163.2653,,,22981.63265,,,,,
2017,,,17256.32653,84659.59184,,,,8802.44898,226.5306122,,,,,156780.8163,17441.63265,,6833.061224,0,,24269.38776,15942.85714,
2018,,,,38447.34694,,,183.6734694,,0,,,,,164203.6735,5568.979592,,,,,,0,
2019,,,,,60740.81633,,,,0,,,,,318763.2653,,,,54475.10204,,,,
2020,,,12732.65306,31467.7551,,,,,,,,,,429980,,,,,,,10408.16327,
2021,,,,13224.4898,,,,,,,,,,273593.0612,0,,,,,6648.979592,,
2022,,,,0,,,,,,,,,,277966.1224,,,,0,,,,
2023,,,1689.795918,,,,,23020.40816,,,,,,147494.2857,0,,14493.06122,,,8795.918367,,
2024,,,,,,,,,,0,,,,315831.4286,53877.55102,,,,,19669.38776,,
2025,,,0,8883.265306,4478.77551,,,,,,,,,247265.7143,,,15719.18367,,0,,,
