YEAR,Port,imports
2006.0,New York-area ports,"84,318.00"
2007.0,New York-area ports,"68,667.00"
2008.0,New York-area ports,"101,305.00"
2009.0,New York-area ports,"189,693.00"
2010.0,New York-area ports,"713,870.00"
2011.0,New York-area ports,"1,052,591.00"
2012.0,New York-area ports,"2,158,796.00"
2013.0,New York-area ports,"3,291,676.00"
2014.0,New York-area ports,"1,929,811.00"
2015.0,New York-area ports,"1,144,682.00"
2016.0,New York-area ports,"3,113,900.00"
2017.0,New York-area ports,"2,552,510.00"
2018.0,New York-area ports,"2,641,877.00"
2019.0,New York-area ports,"2,994,573.00"
2020.0,New York-area ports,"2,124,348.00"
2021.0,New York-area ports,"1,940,440.00"
2022.0,New York-area ports,"2,992,985.00"
2023.0,New York-area ports,"2,087,625.00"
2024.0,New York-area ports,"1,707,255.00"
2006.0,"Albany, New York",
2007.0,"Albany, New York",
2008.0,"Albany, New York",
2009.0,"Albany, New York","289,360.00"
2010.0,"Albany, New York",
2011.0,"Albany, New York",
2012.0,"Albany, New York",
2013.0,"Albany, New York",
2014.0,"Albany, New York",
2015.0,"Albany, New York",
2016.0,"Albany, New York",
2017.0,"Albany, New York",
2018.0,"Albany, New York",
2019.0,"Albany, New York",
2020.0,"Albany, New York",
2021.0,"Albany, New York",
2022.0,"Albany, New York",
2023.0,"Albany, New York",
2024.0,"Albany, New York",
2006.0,"Baltimore, Maryland",
2007.0,"Baltimore, Maryland",
2008.0,"Baltimore, Maryland","428,154.00"
2009.0,"Baltimore, Maryland","24,652.00"
2010.0,"Baltimore, Maryland",
2011.0,"Baltimore, Maryland",
2012.0,"Baltimore, Maryland",
2013.0,"Baltimore, Maryland",
2014.0,"Baltimore, Maryland",
2015.0,"Baltimore, Maryland",
2016.0,"Baltimore, Maryland",
2017.0,"Baltimore, Maryland",
2018.0,"Baltimore, Maryland",
2019.0,"Baltimore, Maryland",
2020.0,"Baltimore, Maryland",
2021.0,"Baltimore, Maryland",
2022.0,"Baltimore, Maryland",
2023.0,"Baltimore, Maryland",
2024.0,"Baltimore, Maryland",
2006.0,"Boston, Massachusetts",
2007.0,"Boston, Massachusetts",
2008.0,"Boston, Massachusetts",
2009.0,"Boston, Massachusetts",
2010.0,"Boston, Massachusetts",
2011.0,"Boston, Massachusetts",
2012.0,"Boston, Massachusetts",
2013.0,"Boston, Massachusetts",
2014.0,"Boston, Massachusetts",
2015.0,"Boston, Massachusetts",
2016.0,"Boston, Massachusetts",
2017.0,"Boston, Massachusetts",
2018.0,"Boston, Massachusetts",
2019.0,"Boston, Massachusetts","74,550.00"
2020.0,"Boston, Massachusetts","43,833.00"
2021.0,"Boston, Massachusetts",
2022.0,"Boston, Massachusetts",
2023.0,"Boston, Massachusetts",
2024.0,"Boston, Massachusetts",
2006.0,"Charleston, South Carolina",
2007.0,"Charleston, South Carolina",
2008.0,"Charleston, South Carolina",
2009.0,"Charleston, South Carolina",
