PRODUCT DESCRIPTION,IMPORTER,IMPORTER ENTITY,SHIPPER,ARRIVAL DATE,GROSS WEIGHT (LB),GROSS WEIGHT (KG),FOREIGN PORT,US PORT,VESSEL NAME,COUNTRY OF ORIGIN,MARKS &AMP; NUMBERS,CONSIGNEE ADDRESS,SHIPPER ADDRESS,ZIP CODE,NO. OF CONTAINERS,CONTAINER NUMBER,CONTAINER TYPE,QUANTITY,QUANTITY UNIT,MEASUREMENT,MEASUREMENT UNIT,BILL OF LADING,HOUSE VS MASTER,MASTER B/L,VOYAGE NUMBER,SEAL,SHIP REGISTERED IN,IN-BOND ENTRY TYPE,CARRIER CODE,CARRIER NAME,CARRIER CITY,CARRIER STATE,CARRIER ZIP,CARRIER ADDRESS,NOTIFY PARTY,NOTIFY ADDRESS,PLACE OF RECEIPT,YEAR,SHIPPER_CLEANED,SHIPPER_COUNTRY
FREIGHT COLLECT 168 PIECES ROUGH SAWN GREENHEART LUMBER - 7229BM/17.04CBM 27 PIECES ROUGH SAWN WASHIBA LUMBER - 797BM/1.89CBM,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,VARIETY WOODS GREENHEART LTD,2025-05-19 0:00:00,60522,27510,Port Bustamante,"New York, New York",MARFRET GUYANE,Jamaica,EFPIPO 55649/ 55660/55637/55644 /POG/WAXED ENDS,"PO BOX 922 578 SOUND AVENUE WADING RIVER, NY 11792 TE USA",99 LALUNI STREET QUEENSTOWN GEORGETOWN GUYANA,11792,1,TCNU5608977,4500,195,PCS,0,CM,CMDUCUY0114170,,,0UAKB,C7950498 CETO381025,FRANCE,,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,EVERGREEN FOREST PRODUCTS INC,"PO BOX 922 578 SOUND AVENUE WADING RIVER, NY 11792","GEORGETOWN, GY",2025,VARIETY WOODS GREENHEART LTD,Guyana
GREENHEART PILES GREENHEART PILES GREENHEART PILES FREIGHT COLLECT GREENHEART PILES GREENHEART PILES GREENHEART PILES GREENHEART PILES GREENHEART PILES GREENHEART PILES,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,SOUTHERN TIMBER EXPORTS,2025-05-19 0:00:00,489276,222398,Port Bustamante,"New York, New York",MARFRET GUYANE,Jamaica,NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS,578 SOUND AVENUE WADING RIVER 11792 UNITED STATES,LOT 53 KERSAINT PARK LA BONNE INTENTION EAST COAST TE DEMERARA,11792,9,GESU6681360 TCKU6230341 TGHU9487047 APHU7255925 TCNU5804769 CMAU4844880 TEMU7689854 CMAU7188234 SEGU6055946,4500 4500 4500 4500 4500 4500 4500 4500 4500,261,PCS,1,CM,CMDUCUY0114182,,,0UAKB,C7725346 C7725348 C7725342 C7956023 C7725347 C7725344 C7725345 C7725343 C7956022,FRANCE,,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,EVERGREEN FOREST PRODUCTS INC,578 SOUND AVENUE WADING RIVER 11792 UNITED STATES,"GEORGETOWN, GY",2025,SOUTHERN TIMBER EXPORTS,Guyana
FREIGHT COLLECT GREENHEART LUMBER,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,SOUTHERN TIMBER EXPORTS,2025-05-19 0:00:00,57875,26307,Port Bustamante,"New York, New York",MARFRET GUYANE,Jamaica,NO MARKS,578 SOUND AVENUE WADING RIVER 11792 UNITED STATES,LOT 53 KERSAINT PARK LA BONNE INTENTION EAST COAST TE DEMERARA,11792,1,CMAU5991381,4500,58,PCS,0,CM,CMDUCUY0114259,,,0UAKB,C7725349,FRANCE,,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,EVERGREEN FOREST PRODUCTS INC,578 SOUND AVENUE WADING RIVER 11792 UNITED STATES,"GEORGETOWN, GY",2025,SOUTHERN TIMBER EXPORTS,Guyana
FREIGHT COLLECT GREENHEART LUMBER,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,SOUTHERN TIMBER EXPORTS,2025-05-19 0:00:00,56038,25472,Port Bustamante,"New York, New York",MARFRET GUYANE,Jamaica,NO MARKS,578 SOUND AVENUE WADING RIVER 11792 UNITED STATES,LOT 53 KERSAINT PARK LA BONNE INTENTION EAST COAST TE DEMERARA,11792,1,TLLU4376564,4500,157,PCS,0,CM,CMDUCUY0114181,,,0UAKB,C7956021,FRANCE,,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,EVERGREEN FOREST PRODUCTS INC,578 SOUND AVENUE WADING RIVER 11792 UNITED STATES,"GEORGETOWN, GY",2025,SOUTHERN TIMBER EXPORTS,Guyana
WASHIBA LUMBER FREIGHT COLLECT FREIGHT COLLECT WASHIBA LUMBER 85PCS DARINA LUMBER 150PCS,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,SOUTHERN TIMBER EXPORTS,2025-05-19 0:00:00,102744,46702,Port Bustamante,"New York, New York",MARFRET GUYANE,Jamaica,NO MARKS NO MARKS,578 SOUND AVENUE WADING RIVER 11792 UNITED STATES,LOT 53 KERSAINT PARK LA BONNE INTENTION EAST COAST TE DEMERARA,11792,2,TCLU7994573 APZU4760593,4500 4200,1497,PCS,0,CM,CMDUCUY0114183,,,0UAKB,C7725550 C7725436,FRANCE,,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,EVERGREEN FOREST PRODUCTS INC,578 SOUND AVENUE WADING RIVER 11792 UNITED STATES,"GEORGETOWN, GY",2025,SOUTHERN TIMBER EXPORTS,Guyana
GREENHEART PILES FREIGHT COLLECT GREENHEART PILES,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,SOUTHERN TIMBER EXPORTS,2025-05-19 0:00:00,118131,53696,Port Bustamante,"New York, New York",MARFRET GUYANE,Jamaica,NO MARKS NO MARKS,578 SOUND AVENUE WADING RIVER 11792 UNITED STATES,LOT 53 KERSAINT PARK LA BONNE INTENTION EAST COAST TE DEMERARA,11792,2,DRYU4500537 ECMU8178059,9500 9500,36,PCS,0,CM,CMDUCUY0114228,,,0UAKB,C7725341 C7725350,FRANCE,,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,EVERGREEN FOREST PRODUCTS INC,578 SOUND AVENUE WADING RIVER 11792 UNITED STATES,"GEORGETOWN, GY",2025,SOUTHERN TIMBER EXPORTS,Guyana
FREIGHT COLLECT GREENHEART PILES GREENHEART PILES GREENHEART PILES,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,SOUTHERN TIMBER EXPORTS,2025-05-19 0:00:00,168080,76400,Port Bustamante,"New York, New York",MARFRET GUYANE,Jamaica,NO MARKS NO MARKS NO MARKS,578 SOUND AVENUE WADING RIVER 11792 UNITED STATES,LOT 53 KERSAINT PARK LA BONNE INTENTION EAST COAST TE DEMERARA,11792,3,CAIU9700542 TCLU9605433 TLLU5007508,4500 4500 4500,98,PCS,0,CM,CMDUCUY0114258,,,0UAKB,C7725438 C7725439 C7725425,FRANCE,,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,EVERGREEN FOREST PRODUCTS INC,578 SOUND AVENUE WADING RIVER 11792 UNITED STATES,"GEORGETOWN, GY",2025,SOUTHERN TIMBER EXPORTS,Guyana
FREIGHT COLLECT DARINA AND WASHIBA LUMBER GOODS TO RELEASED AGAINST PRESENTATION OF ORIGINAL BILL CUY0113640 SHORTSHIPPED,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,SOUTHERN TIMBER EXPORTS,2025-05-05 0:00:00,54655,24843,Port Bustamante,"New York, New York",CMA CGM HOMERE,Jamaica,NO MARKS,578 SOUND AVENUE WADING RIVER UNITED STATES,LOT 53 KERSAINT PARK LA BONNE INTENTION EAST COAST TE DEMERARA,,1,TCNU4336827,4500,172,PCS,0,CM,CMDUJAM0180527,,,0UAK7,509504 C7720064,INDONESIA,,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,EVERGREEN FOREST PRODUCTS INC,578 SOUND AVENUE WADING RIVER UNITED STATES,KINGSTON,2025,SOUTHERN TIMBER EXPORTS,Guyana
FREIGHT COLLECT ROUGH SAWN GREENHEART LUMBER - 8015BM / 18.90,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,VARIETY WOODS GREENHEART LTD,2025-05-01 0:00:00,62788,28540,Port Bustamante,"New York, New York",MARFRET GUYANE,Jamaica,EFPI PO 55649/55660/ POG/WAXED ENDS,"PO BOX 922 578 SOUND AVENUE WADING RIVER, NY 11792 TE USA",99 LALUNI STREET QUEENSTOWN GEORGETOWN GUYANA,11792,1,CMAU4296683,4500,149,PCS,0,CM,CMDUCUY0114090,,,0UAK5,C7950497 CETO380645,FRANCE,,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,EVERGREEN FOREST PRODUCTS INC,"PO BOX 922 578 SOUND AVENUE WADING RIVER, NY 11792","GEORGETOWN, GY",2025,VARIETY WOODS GREENHEART LTD,Guyana
FREIGHT COLLECT GREENHEART LUMBER GREENHEART LUMBER GREENHEART LUMBER,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,SOUTHERN TIMBER EXPORTS,2025-05-01 0:00:00,166890,75859,Port Bustamante,"New York, New York",MARFRET GUYANE,Jamaica,NO MARKS NO MARKS NO MARKS,578 SOUND AVENUE WADING RIVER 11792 UNITED STATES,LOT 53 KERSAINT PARK LA BONNE INTENTION EAST COAST TE DEMERARA,11792,3,CMAU5912905 FDCU0257848 CMAU5437683,4500 4500 4500,1002,PCS,0,CM,CMDUCUY0114158,,,0UAK5,C7956050 C7955990 C7955989,FRANCE,,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,EVERGREEN FOREST PRODUCTS INC,578 SOUND AVENUE WADING RIVER 11792 UNITED STATES,"GEORGETOWN, GY",2025,SOUTHERN TIMBER EXPORTS,Guyana
