PRODUCT DESCRIPTION,IMPORTER,IMPORTER ENTITY,SHIPPER,ARRIVAL DATE,GROSS WEIGHT (LB),GROSS WEIGHT (KG),FOREIGN PORT,US PORT,VESSEL NAME,COUNTRY OF ORIGIN,MARKS &AMP; NUMBERS,CONSIGNEE ADDRESS,SHIPPER ADDRESS,ZIP CODE,NO. OF CONTAINERS,CONTAINER NUMBER,CONTAINER TYPE,QUANTITY,QUANTITY UNIT,MEASUREMENT,MEASUREMENT UNIT,BILL OF LADING,HOUSE VS MASTER,MASTER B/L,VOYAGE NUMBER,SEAL,SHIP REGISTERED IN,IN-BOND ENTRY TYPE,CARRIER CODE,CARRIER NAME,CARRIER CITY,CARRIER STATE,CARRIER ZIP,CARRIER ADDRESS,NOTIFY PARTY,NOTIFY ADDRESS,PLACE OF RECEIPT,SHIPPER_CLEANED,YEAR,IMPORTER_CLEANED,IMPORTER_COUNTRY
PARTICLE BOARD CIGAR BOXES AND PARTICLE BOARDCIGARETTE BOXES PARTS SAID TO BE: 'THIS SHIPMENT-BOTH PRODUCT AND PACKING MATERIAL DOES NOT CONTAIN ANY SOLID WOOD PACKING MATERIAL OFANY KIND.' (SLIDE COVER),"D MARSHALL, INC", ,EMERALD FOREST INC.,2015-09-17 00:00:00,2125,966,Chi Lung,"Los Angeles, California",YM UTILITY,China Taiwan,DM LOS ANGELES C/NO. 1-61 MADE IN TAIWAN R.O. C.,"269 S. BEVERLY DRIVE #681 BEVERLY HILLS, CA. 90212 U.S.A. TEL:714-844 9275","F1.,NO.18, LANE 1, BAOKANG ROAD., FENGYUAN DIST., TAICHUNG CITY 42051, TAIWAN (R.O.C.)",90212,1,SZLU9816261,4FR0,61,CTN,7,CM,PSLAW5082112LAX,H,HJSCTPE530144600,0038E,HJS2080546,LIBERIA, ,PSLA,PACIFICTOP SHIPPING LIMITED,KWUN TONG KOWLOON, , ,LEVEL 8 MILLENNIUM CITY #6 392 KWUN TONG ROAD,"D MARSHALL, INC","269 S. BEVERLY DRIVE #681 BEVERLY HILLS, CA. 90212 U.S.A. TEL:714-844 9275","TAICHUNG, TAIWAN",Emerald Forest Inc.,2015,"D MARSHALL, INC",United States
BASKETBALL LAUNDRY SHOOT,PROVIDE CREATIONS,PROVIDE CREATIONS INC,EMERALD FOREST INC,2015-08-05 00:00:00,10010,4550,Kaohsiung,"Long Beach, California",OOCL SHENZHEN,China Taiwan,"PROVIDE CREATIONS, INC.",1301 INTERNATIONALE PARKWAY WOODRIDGE IL 60517 USA,"1FL., NO.18, LANE 1, BAOKANG ROAD, TAICHUNG TAIWAN",60517,1,OOLU7480547,4CG0,350,CTN,0, ,UNPC116353860,H,OOLU2562973270,079E,OOLDKJ3319,HONG KONG, ,UNPC,UTI UNITED STATES INC,MELVILLE,NY,11747,48 SO SERVICE RD,-NOT AVAILABLE-, ,KEELUNG TAIWAN,Emerald Forest Inc.,2015,PROVIDE CREATIONS,United States
BASKETBALL LAUNDRY SHOOT,PROVIDE CREATIONS,PROVIDE CREATIONS INC,EMERALD FOREST INC,2015-07-08 00:00:00,2145,975,Kaohsiung,"Long Beach, California",OOCL CANADA,China Taiwan,PROVIDE CREATION INC.,1301 INTERNATIONALE PARKWAY WOODRIDGE IL 60517 USA,"1FL., NO.18, LANE 1, BAOKANG ROAD, TAICHUNG TAIWAN",60517,1,OOLU8106980,45G1,75,CTN,0, ,UNPC115748356,H,OOLU2561912910,033E,OOLDKJ3088,HONG KONG, ,UNPC,UTI UNITED STATES INC,MELVILLE,NY,11747,48 SO SERVICE RD,-NOT AVAILABLE-, ,KEELUNG TAIWAN,Emerald Forest Inc.,2015,PROVIDE CREATIONS,United States
BASKETBALL LAUNDRY SHOOT,PC-PERSONAL CREATIONS,PC-PERSONAL CREATIONS,EMERALD FOREST INC,2015-04-08 00:00:00,2431,1105,Kaohsiung,"Los Angeles, California",EVER SALUTE,China Taiwan,"PROVIDE CREATIONS, INC",1301 INTERNATIONAL PARKWAY DOCK DOORS 10-17 WOODRIDGE IL USA,"1FL., NO.18, LANE 1, BAOKANG ROAD, TAICHUNG TAIWAN", ,1,TEMU6170421, ,85,CTN,0, ,UNPC113103502,H,EGLV003500633651,049E,EMCECB9423,PANAMA, ,UNPC,UTI UNITED STATES INC,MELVILLE,NY,11747,48 SO SERVICE RD,-NOT AVAILABLE-, ,"KEELUNG, TAIWAN",Emerald Forest Inc.,2015,PC-PERSONAL CREATIONS,United States
"PARTICLE BOARD CIGAR BOXES AND PARTICLE BOARDCIGARETTE BOXES PARTS SAID TO BE: 'THIS SHIPMENT-BOTH PRODUCT AND PACKING MATERIAL DOES NOT CONTAIN ANY SOLID WOOD PACKING MATERIAL OF ANY KIND.' (KEY, SLIDE COVER)","D MARSHALL, INC", ,EMERALD FOREST INC.,2014-10-28 00:00:00,2350,1068,Chi Lung,"Los Angeles, California",YM MASCULINITY,China Taiwan,DM LOS ANGELES C/NO.1-67 MADE IN TAIWAN R.O.C .,"269 S. BEVERLY DRIVE #681 BEVERLY HILLS, CA. 90212 U.S.A.","F1.,NO.18, LANE 1, BAOKANG ROAD., FENGYUAN DIST., TAICHUNG CITY 42051, TAIWAN (R.O.C.)",90212,1,TRLU7416445,4FG0,67,CTN,8,CM,PSLAW4102034LAX,H,HJSCTPE436213100,0020E,HJ433761,LIBERIA, ,PSLA,PACIFICTOP SHIPPING LIMITED,KWUN TONG KOWLOON, , ,LEVEL 8 MILLENNIUM CITY #6 392 KWUN TONG ROAD,"D MARSHALL, INC","269 S. BEVERLY DRIVE #681 BEVERLY HILLS, CA. 90212 U.S.A.","TAICHUNG,TAIWAN",Emerald Forest Inc.,2014,"D MARSHALL, INC",United States
ROUGH SAWN MASSARANDUBA LENGTHS: 6-18 FT DIMENSIONS: 1.25'X 6' FREIGHT COLLECT AL L LOCAL CHARGES AT DESTINATION FOR CONSIG NEE'S ACCOUNT SAID TO E SAID TO WEIGH,HOOTMAN & COMPANY, ,EMERALD FOREST INC,2014-10-23 00:00:00,15850,7205,Port Bustamante,"Houston, Texas",SYDNEY,Jamaica,NO MARKS NO NUMBERS,1200W MAIN STREET LA PORTE TX 77571 USA TEL:281 471 3907 FAX:281 471 2 795,BLOCK 3026 HAND EN VELDT MAHAICA EA ST COAST DEMERARA GUYANA TEL:592 22 8 2993 /228 2994 644 9547 FAX:592,77571,1,ZIMU1438599,2200,802,PCS,0,CF,ZIMUGTG07934, , ,24S,CTA268527 ZZCK53103,SINGAPORE, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,TEL:603 206 3835 FAX:414 445 9155,GEORGETOWN,Emerald Forest Inc.,2014,HOOTMAN & COMPANY,United States
BASKETBALL LAUNDRY SHOOT,PC-PERSONAL CREATIONS,PC-PERSONAL CREATIONS,EMERALD FOREST INC,2014-08-26 00:00:00,4805,2184,Kaohsiung,"Los Angeles, California",HATSU COURAGE,China Taiwan,"PROVIDE CREATIONS, INC",1005 101ST ST SUITE A LEMONT IL 60439 USA,"1FL., NO.18, LANE 1, BAOKANG ROAD, TAICHUNG TAIWAN",60439,1,CLHU4531265,42G0,168,CTN,0, ,UNPC5883282317,H,EGLV003401908547,065E,EMCCVJ3062,MARSHALL ISLANDS, ,UNPC,UTI UNITED STATES INC,MELVILLE,NY,11747,48 SO SERVICE RD,-NOT AVAILABLE-, ,"KEELUNG, TAIWAN",Emerald Forest Inc.,2014,PC-PERSONAL CREATIONS,United States
PARTICLE BOARD CIGAR BOXES AND PARTICLE BOARDCIGARETTE BOXES PARTS SAID TO BE: 'THIS SHIPMENT-BOTH PRODUCT AND PACKING MATERIAL DOES NOT CONTAIN ANY SOLID WOOD PACKING MATERIAL OF ANY KIND.' (KEY),"D MARSHALL, INC.", ,EMERALD FOREST INC.,2014-06-04 00:00:00,1324,602,Chi Lung,"Los Angeles, California",YM MODESTY,China Taiwan,DM LOS ANGELES C/NO.1-38 MADE IN TAIWAN R.O.C .,"269 S. BEVERLY DRIVE #681 BEVERLY HILLS, CA. 90212 U.S.A. TEL:714-844 9275","F1.,NO.18, LANE 1, BAOKANG ROAD, FENGYUAN DIST., TAICHUNG CITY 42051, TAIWAN (R.O.C.)",90212,1,DRYU9622332,4EB0,38,CTN,5,CM,PSLAW4052047LAX,H,HJSCTPE416623400,0005E,HJ450185,LIBERIA, ,PSLA,PACIFICTOP SHIPPING LIMITED,KWUN TONG KOWLOON, , ,LEVEL 8 MILLENNIUM CITY #6 392 KWUN TONG ROAD,"D MARSHALL, INC","269 S. BEVERLY DRIVE #681 BEVERLY HILLS, CA. 90212 U.S.A. TEL:714-844 9275","TAICHUNG,TAIWAN",Emerald Forest Inc.,2014,"D MARSHALL, INC",United States
"PARTICLE BOARD CIGAR BOXES AND PARTICLE BOARDCIGARETTE BOXES PARTS SAID TO BE: 'THIS SHIPMENT-BOTH PRODUCT AND PACKING MATERIAL DOES NOT CONTAIN ANY SOLID WOOD PACKING MATERIAL OF ANY KIND.' (KEY, SLIDE WOOD COVER)","D MARSHALL, INC", ,EMERALD FOREST INC.,2014-04-29 00:00:00,3868,1758,Chi Lung,"Los Angeles, California",YM MODERATION,China Taiwan,DM LOS ANGELES C/NO.1-43 ; 45-117 MADE IN TAI WAN R.O.C.,"269 S. BEVERLY DRIVE #681 BEVERLY HILLS, CA. 90212 U.S.A.","F1.,NO.18, LANE 1, BAOKANG ROAD., FENGYUAN DIST., TAICHUNG CITY 42051, TAIWAN (R.O.C.)",90212,1,BMOU9767593,4ER0,116,CTN,12,CM,PSLAW4042032LAX,H,HJSCTPE411662200,0001E,HJ465138,PANAMA, ,PSLA,PACIFICTOP SHIPPING LIMITED,KWUN TONG KOWLOON, , ,LEVEL 8 MILLENNIUM CITY #6 392 KWUN TONG ROAD,"D MARSHALL, INC","269 S. BEVERLY DRIVE #681 BEVERLY HILLS, CA. 90212 U.S.A.","TAICHUNG,TAIWAN",Emerald Forest Inc.,2014,"D MARSHALL, INC",United States
BASKETBALL LAUNDRY SHOOT,PROVIDE CREATIONS,PROVIDE CREATIONS INC,EMERALD FOREST INC,2013-10-15 00:00:00,6919,3145,Kaohsiung,"Los Angeles, California",COSCO TIANJIN,China Taiwan,"PROVIDE CREATIONS, INC.",1301 INTERNATIONALE PARKWAY WOODRIDGE IL 60517 USA,"1FL., NO.18, LANE 1, BAOKANG ROAD, TAICHUNG TAIWAN",60517,1,GVCU4111340, ,242,CTN,0, ,UNPC5883245338,H,EGLV003302307944,005E,EMCCJT9772,PANAMA, ,UNPC,UTI UNITED STATES INC,MELVILLE,NY,11747,48 SO SERVICE RD, , ,"KEELUNG, TAIWAN",Emerald Forest Inc.,2013,PROVIDE CREATIONS,United States
