PRODUCT DESCRIPTION,IMPORTER,IMPORTER ENTITY,SHIPPER,ARRIVAL DATE,YEAR,GROSS WEIGHT (LB),GROSS WEIGHT (KG),FOREIGN PORT,US PORT,VESSEL NAME,COUNTRY OF ORIGIN,MARKS &AMP; NUMBERS,CONSIGNEE ADDRESS,SHIPPER ADDRESS,ZIP CODE,NO. OF CONTAINERS,CONTAINER NUMBER,CONTAINER TYPE,QUANTITY,QUANTITY UNIT,MEASUREMENT,MEASUREMENT UNIT,BILL OF LADING,HOUSE VS MASTER,MASTER B/L,VOYAGE NUMBER,SEAL,SHIP REGISTERED IN,IN-BOND ENTRY TYPE,CARRIER CODE,CARRIER NAME,CARRIER CITY,CARRIER STATE,CARRIER ZIP,CARRIER ADDRESS,NOTIFY PARTY,NOTIFY ADDRESS,PLACE OF RECEIPT,SHIPPER_CLEANED,SHIPPER_COUNTRY,ekki,greenheart,darina,tatabu,shibadan,tauroniro,garlicwood,locust,bulletwood,kabukalli,wamara,cow wood,mora,bukea,burada,eucalyptus cloeziana,tali,piles
HARDWOOD PALLETS EKKI / AZOBE HARDWOOD SAWN TIMBE,WILLIAM G. MOORE AND SON INC.,WILLIAM G. MOORE & SON INC,HUPKES WIJMA B.V.,05/22/2025,2025,43232,19651,Rotterdam,"New York/Newark Area, Newark, New Jersey",CMA CGM FIDELIO,Netherlands,NO MARKS .,218 SCHANCK ROAD OF DELAWARE FREEHOLD NJ 07728 US,HAATLANDHAVEN 3 KAMPEN 8263 NL,7728,1,CMAU0577316, ,12,PKG,0, ,RSECUSNYC5040344,H,CMDURTM1514655,0LBJF,BS579463,MALTA, ,RSEC,ROSE CONTAINERLINE INC,NEW YORK,NY,10001,259 WEST 30TH ST 12TH FL,WILLIAM G. MOORE AND SON INC.,218 SCHANCK ROAD OF DELAWARE,ROTTERDAM NETHERL,Hupkes Wijma B.V.,Netherlands,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
EKKI / AZOBE HARDWOOD SAWN TIMBER,WILLIAM G. MOORE AND SON INC.,WILLIAM G. MOORE & SON INC,HUPKES WIJMA B.V.,04/25/2025,2025,40942,18610,Rotterdam,"New York, New York",LEONIDIO,Netherlands,NO MARKS,218 SCHANCK ROAD OF DELAWARE FREEHOLD NJ 07728 US,HAATLANDHAVEN 3 KAMPEN 8263 NL,7728,1,BMOU1270960,2210,9,PKG,0, ,RSECUSNYC5030316,H,HLCURTM250312790,512W,9465 BS579465,MALTA, ,RSEC,ROSE CONTAINERLINE INC,NEW YORK,NY,10001,259 WEST 30TH ST 12TH FL,WILLIAM G. MOORE AND SON INC.,218 SCHANCK ROAD OF DELAWARE,ROTTERDAM NETHERL,Hupkes Wijma B.V.,Netherlands,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ROUGH SAWN GREENHEART LUMBER - 7104BM ALL DUNNAGE IS FUMIGATED WITH LUMBER IN CONTAINER FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID TO WEIGH SAID TO BE,WILLIAM G MOORE & SON INC,WILLIAM G. MOORE & SON INC,VARIETY WOODS & GREENHEART LTD,04/21/2025,2025,54520,24782,Cartagena,"New York/Newark Area, Newark, New Jersey",ZIM CORAL,Colombia,WGM 9541 P.O.G/ WAXED ENDS,"OF DELAWARE 218 SCHANCK ROAD, PO BOX 6309 FREEHOLD, NEW JERSEY 07728, U.S.A TEL#732-303-6049 FAX:732-303-6075","99 LALUNI STREET, QUEENSTOWN GEORGETOWN GUYANA TEL #: 592-226-8556", ,1,ZCSU7221791,4500,33,PCS,592,CF,ZIMUGTG0020335, , ,6W,CETO380613 A4231559851,HONG KONG, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,WILLIAM G MOORE & SON INC,"OF DELAWARE 218 SCHANCK ROAD, PO BOX 6309 FREEHOLD, NEW JERSEY 07728, U.S.A TEL#732-303-6049 FAX:732-303-6075",GEORGETOWN - GUYA,Variety Woods & Greenheart,Guyana,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
EKKI/AZOBE HARDWOOD SAWN TIMBER,WILLIAM G. MOORE AND SON INC.,WILLIAM G. MOORE & SON INC,HUPKES WIJMA B.V.,04/07/2025,2025,42330,19241,Rotterdam,"New York/Newark Area, Newark, New Jersey",APL LE HAVRE,Netherlands,NO MARKS,218 SCHANCK ROAD OF DELAWARE FREEHOLD NJ 07728 US,HAATLANDHAVEN 3 KAMPEN 8263 NL,7728,1,TGBU4082342,45G1,10,PKG,0, ,RSECUSNYC5030228,H,COSU6411754720,0LBJ7,BS579467,SINGAPORE, ,RSEC,ROSE CONTAINERLINE INC,NEW YORK,NY,10001,259 WEST 30TH ST 12TH FL,WILLIAM G. MOORE AND SON INC.,218 SCHANCK ROAD OF DELAWARE,ROTTERDAM NETHERL,Hupkes Wijma B.V.,Netherlands,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ROUGH SAWN GREENHEART LUMBER - 7104BM ALL DUNNAGE IS FUMIGATED WITH LUMBER IN CONTAINER AS PER SHIPPER FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID TO BE SAID TO WEIGH,WILLIAM G MOORE & SON INC,WILLIAM G. MOORE & SON INC,VARIETY WOODS & GREENHEART LTD,03/31/2025,2025,54784,24902,Cartagena,"New York/Newark Area, Newark, New Jersey",ZIM ARIES,Colombia,WGM 9541 P.O.G/ WAXED ENDS,"OF DELAWARE 218 SCHANCK ROAD, PO BOX 6309 FREEHOLD, NEW JERSEY 07728, U.S.A TEL#732-303-6049 FAX:732-303-6075","99 LALUNI STREET, QUEENSTOWN GEORGETOWN GUYANA 592-226-8556", ,1,ZCSU7090433,4500,37,PCS,592,CF,ZIMUGTG0020254, , ,5W,CETO194164 A4231548444,LIBERIA, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,WILLIAM G MOORE & SON INC,"OF DELAWARE 218 SCHANCK ROAD, PO BOX 6309 FREEHOLD, NEW JERSEY 07728, U.S.A TEL#732-303-6049 FAX:732-303-6075",GEORGETOWN - GUYA,Variety Woods & Greenheart,Guyana,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ROUGH SAWN GREENHEART LUMBER - 7104BM ALL DUNNAGE IS FUMIGATED WITH LUMBER IN CONTAINER AS PER SHIPPER FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID TO BE SAID TO WEIGH,WILLIAM G MOORE & SON INC,WILLIAM G. MOORE & SON INC,VARIETY WOODS & GREENHEART LTD,03/31/2025,2025,56151,25523,Cartagena,"New York/Newark Area, Newark, New Jersey",ZIM ARIES,Colombia,WGM 9541 P.O.G/ WAXED ENDS,"OF DELAWARE 218 SCHANCK ROAD, PO BOX 6309 FREEHOLD, NEW JERSEY 07728, U.S.A TEL#732-303-6049 FAX:732-303-6075","99 LALUNI STREET, QUEENSTOWN GEORGETOWN GUYANA 592-226-8556", ,1,ZCSU7616507,4500,37,PCS,592,CF,ZIMUGTG0020262, , ,5W,CETO194187 A4231548433,LIBERIA, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,WILLIAM G MOORE & SON INC,"OF DELAWARE 218 SCHANCK ROAD, PO BOX 6309 FREEHOLD, NEW JERSEY 07728, U.S.A TEL#732-303-6049 FAX:732-303-6075",GEORGETOWN - GUYA,Variety Woods & Greenheart,Guyana,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
EKKI/AZOBE HARDWOOD SAWN TIMBER EKKI/AZOBE HARDWOOD SAWN TIMBER,WILLIAM G. MOORE AND SON INC.,WILLIAM G. MOORE & SON INC,HUPKES WIJMA B.V.,03/19/2025,2025,83800,38091,Rotterdam,"New York/Newark Area, Newark, New Jersey",OOCL CHONGQING,Netherlands,NO MARKS NO MARKS,218 SCHANCK ROAD OF DELAWARE FREEHOLD NJ 07728 US,HAATLANDHAVEN 3 KAMPEN 8263 NL,7728,2,CSLU2301789 CSNU2267336,22G1 22G1,17,BDL,0, ,RSECUSNYC5020297,H,COSU6409938230,058W,TSK5960392 BS579462,HONG KONG, ,RSEC,ROSE CONTAINERLINE INC,NEW YORK,NY,10001,259 WEST 30TH ST 12TH FL,WILLIAM G. MOORE AND SON INC.,218 SCHANCK ROAD OF DELAWARE,ROTTERDAM NETHERL,Hupkes Wijma B.V.,Netherlands,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ROUND GREENHEART PILES (25'-39' ) - 864 LF FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID TO WEIGH SAID TO BE,WILLIAM G MOORE & SON INC OF,WILLIAM G. MOORE & SON INC,-NOT AVAILABLE-,03/06/2025,2025,59855,27207,Cartagena,"New York/Newark Area, Newark, New Jersey",ZIM OPAL,Colombia,V/WGM 9542 P.O.G/ PINK ENDS,"DELAWARE 218 SCHANCK ROAD, PO BOX 6309 FREEHOLD, NEW JERSEY 07728 USA TEL #: 732-303-6049 FAX #: 732-303-6075",-NOT AVAILABLE-,7728,1,TCNU6953920,4500,25,PCS,757,CF,ZIMUGTG0020176, , ,5W,CETO193805 A4231561894,HONG KONG, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,-NOT AVAILABLE-,-NOT AVAILABLE-,GEORGETOWN - GUYA,Not Available,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
HARDWOOD SAWN TIMBER,WILLIAM G. MOORE AND SON INC.,WILLIAM G. MOORE & SON INC,HUPKES WIJMA B.V.,02/20/2025,2025,40920,18600,Rotterdam,"New York/Newark Area, Newark, New Jersey",COSCO HOPE,Netherlands,NO MARKS,OF DELAWARE 218 SCHANCK ROAD FREEHOLD NJ 07728 US,HAATLANDHAVEN 3 KAMPEN 8263 NL,7728,1,TIIU2237790,22G1,9,BDL,0, ,RSECUSNYC5010286,H,COSU6408477960,066W,TSK5960379,HONG KONG, ,RSEC,ROSE CONTAINERLINE INC,NEW YORK,NY,10001,259 WEST 30TH ST 12TH FL,WILLIAM G. MOORE AND SON INC.,OF DELAWARE 218 SCHANCK ROAD,ROTTERDAM NETHERL,Hupkes Wijma B.V.,Netherlands,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
EKKI/AZOBE HARDWOOD SAWN TIMBER,WILLIAM G. MOORE AND SON INC.,WILLIAM G. MOORE & SON INC,HUPKES WIJMA B.V.,02/19/2025,2025,42900,19500,Rotterdam,"New York/Newark Area, Newark, New Jersey",CHENNAI EXPRESS,Netherlands,NO MARKS,218 SCHANCK ROAD OF DELAWARE FREEHOLD NJ 07728 US,HAATLANDHAVEN 3 KAMPEN 8263 NL,7728,1,UACU4101212, ,8,BDL,0, ,RSECUSNYC5010221,H,HLCURTM250138314,011W,TSK5960378,LIBERIA, ,RSEC,ROSE CONTAINERLINE INC,NEW YORK,NY,10001,259 WEST 30TH ST 12TH FL,WILLIAM G. MOORE AND SON INC.,218 SCHANCK ROAD OF DELAWARE,ROTTERDAM NETHERL,Hupkes Wijma B.V.,Netherlands,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
