PRODUCT DESCRIPTION,IMPORTER,IMPORTER ENTITY,SHIPPER,ARRIVAL DATE,GROSS WEIGHT (LB),GROSS WEIGHT (KG),FOREIGN PORT,US PORT,VESSEL NAME,COUNTRY OF ORIGIN,MARKS &AMP; NUMBERS,CONSIGNEE ADDRESS,SHIPPER ADDRESS,ZIP CODE,NO. OF CONTAINERS,CONTAINER NUMBER,CONTAINER TYPE,QUANTITY,QUANTITY UNIT,MEASUREMENT,MEASUREMENT UNIT,BILL OF LADING,HOUSE VS MASTER,MASTER B/L,VOYAGE NUMBER,SEAL,SHIP REGISTERED IN,IN-BOND ENTRY TYPE,CARRIER CODE,CARRIER NAME,CARRIER CITY,CARRIER STATE,CARRIER ZIP,CARRIER ADDRESS,NOTIFY PARTY,NOTIFY ADDRESS,PLACE OF RECEIPT
SAWN TIMBER AZOBE,ROSOHAN HARDWOODS,ROSOHAN HARDWOODS,BOIS & SERVICES SARL (B.S),06/16/2023,9108,4140,Antwerp,"Charleston, South Carolina",MAERSK OHIO,Belgium,NO MARKS,"STOCKMILL RD, APTE, ILC , 22, STOCK PIKESVILLE MD 0000 UNITED STATES",ZONE INDUSTRIELLE BASSA DOUALA CAMEROON, ,1,MSCU6375090,2210,1,PKG,1,X,MEDUCM206438, , ,322W,EU23698222,UNITED STATES, ,MEDU,MSC MEDITTERRANEAN SHIPPING COMPANY SA,GENEVA, , , ,ROSOHAN HARDWOODS,"STOCKMILL RD, APTE, ILC , 22, STOCK PIKESVILLE MD 0000 UNITED STATES",DOUALA
BUNDLES OF SAWN TIMBER AZOBE ( LOPHIRA ALATA FREIGHT COLLECT,TO ORDER OF,TO ORDER OF,COMPAGNIE FORESTIERE DE KRIBI SA,12/01/2019,46334,21061,Valencia,"New York/Newark Area, Newark, New Jersey",CMA CGM NABUCCO,Spain,OT 72049 CTS 19-260/261/283,COMPAGNIE FORESTIERE DE KRIBI SA BP 53 KRIBI TE CAMEROON,BP 53 KRIBI CAMEROON, ,1,CMAU4846476,4500,11,PCS,0,CM,CMDUDLO0132019, , ,0MR48,G5975013,FRANCE, ,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,WILLIAM G MOORE SON INC,218 SCHANCK ROAD PO BOX 6309 FREEHOLD,KRIBI
"BUNDLES OF SAWN TIMBER AZOBE (LOPHIRA ALATA), FSC100%, AD OT 71559 CTS 17-320/17-3 22. BUNDLES OF SAWN TIMBER AZOBE (LOPHIRA ALATA), FSC100%, AD OT 71559 CTS 17-320/17-3 22. BUNDLES OF SAWN TIMBER AZOBE (LOPHIRA ALATA), FSC100%, AD OT 71559 CTS 17-320/17-3 22.",TO ORDER BOLLORE AFRICA LOGISTICS P,BOLLORE LOGISTICS USA INC,BOLLORE AFRICA LOGISTICS P/C C F,12/11/2017,117047,53203,Algeciras,"New York/Newark Area, Newark, New Jersey",MAERSK CHICAGO,Spain,N/M N/M N/M,BP 1616-DOUALA - CAMEROUN TEL: +237 33 43 07 11 +237 795383 DR.15072386 1-7323036049 TEL EX 60,BP 1616-DOUALA - CAMEROUN TEL: +237 33 43 07 11 +237 795383 DR.15072386 237-123123123,1-732303,3,PONU7470784 MRKU4726227 MSKU1280180,4EB0 4EB0 4EB0,49,BDL,48,CM,SAFM770053885, , ,1710,CM0205830 CM0209661 CM0209590,UNITED STATES, ,SAFM,SAFMARINE CONTAINER LINES (HEREINAFTER SAFMARINE),MADISON,NJ,07940-0880,GIRALDA FARMS #2 MADISON AVE PO BOX 880,"WILLIAM G MOORE & SON,INC OF DELA",PO BOX 6309 NJ 07728 FREEHOLD,DOUALA
"BUNDLES OF SAWN TIMBER AZOBE ( LOPHIRA ALATA), AD OT 715 82 CTS 17-322 / 17-394 F SC100%",TO ORDER BOLLORE AFRICA LOGISTICS P,BOLLORE LOGISTICS USA INC,BOLLORE AFRICA LOGISTICS P/C C F K,12/06/2017,42538,19335,Algeciras,"New York/Newark Area, Newark, New Jersey",MSC KINGSTON,Spain,N/M,BP 1616-DOUALA - CAMEROUN TEL: +237 33 43 07 11 +237 795383 1-7323036049 TEL EX 60,BP 1616-DOUALA - CAMEROUN TEL: +237 33 43 07 11 +237 795383 237-233501283 TEL EX 237-2334 26,1-732303,1,MRKU4752000,4EB0,11,BDL,17,CM,SAFM770061207, , ,746W,CM0219074,HONG KONG, ,SAFM,SAFMARINE CONTAINER LINES (HEREINAFTER SAFMARINE),MADISON,NJ,07940-0880,GIRALDA FARMS #2 MADISON AVE PO BOX 880,"WILLIAM G MOORE & SON,INC OF DELAWA",PO BOX 6309 NJ 07728 FREEHOLD,DOUALA
"BUNDLES OF SAWN TIMBER AZOBE ( LOPHIRA ALATA), AD OT 715 53 FSC17-321-100%. BUNDLES OF SAWN TIMBER AZOBE ( LOPHIRA ALATA), AD OT 715 53 FSC17-321-100%.",TO ORDER BOLLORE AFRICA LOGISTICS P,BOLLORE LOGISTICS USA INC,BOLLORE AFRICA LOGISTICS P/C C F K,11/13/2017,82307,37412,Algeciras,"New York/Newark Area, Newark, New Jersey",MAERSK MEMPHIS,Spain,N/M N/M,BP 1616-DOUALA - CAMEROUN TEL: +237 33 43 07 11 +237 795383 1-7323036049 TEL EX 60,BP 1616-DOUALA - CAMEROUN TEL: +237 33 43 07 11 +237 795383 237-233501283 TEL EX 237-2334 26,1-732303,2,MRKU3856015 MRKU0406159,4EB0 4CB0,20,BDL,33,CM,SAFM769885016, , ,1710,CM0205828 CM0219635,UNITED STATES, ,SAFM,SAFMARINE CONTAINER LINES (HEREINAFTER SAFMARINE),MADISON,NJ,07940-0880,GIRALDA FARMS #2 MADISON AVE PO BOX 880,"WILLIAM G MOORE & SON,INC OF DELAWA",PO BOX 6309 NJ 07728 FREEHOLD,DOUALA
"BUNDLES OF SAWN TIMBER AZOBE ( LOPHIRA ALATA), AD CT 17-1 94 OT 71509 BUNDLES OF SAWN TIMBER AZOBE ( LOPHIRA ALATA), AD CT 17-1 94 OT 71509 BUNDLES OF SAWN TIMBER AZOBE ( LOPHIRA ALATA), AD CT 17-1 94 OT 71509 BUNDLES OF SAWN TIMBER AZOBE ( LOPHIRA ALATA), AD CT 17-1 94 OT 71509 BUNDLES OF SAWN TIMBER AZOBE ( LOPHIRA ALATA), AD CT 17-1 94 OT 71509",TO ORDER BOLLORE AFRICA LOGISTICS,BOLLORE LOGISTICS USA INC,BOLLORE AFRICA LOGISTICS P/C C,08/12/2017,187992,85451,Algeciras,"Houston, Texas",NORTHERN MAGNUM,Spain,N/M N/M N/M N/M N/M,BP 1616 DOUALA CAMEROUN TEL +237 33 43 07 11 1-2058715462 TEL EX 64,BP 1616 DOUALA CAMEROUN TEL +237 33 43 07 11 237-233501283 TEL EX 237-2334 26,1-205263,5,CAIU2471629 MSKU4247801 MSKU3351410 MRKU6600990 TCLU3360061,2CB0 2CB0 2CB0 2CB0 2CB0,60,BDL,77,CM,MAEU960954474, , ,1706,CM0104355 CM0104356 CM0253640 CM0253622 CM0253621,GERMANY, ,MAEU,MAERSK LINE,MADISON,NJ,07940-0880,"2 GIRALDA FARMS, MADISON AVE.",WILLIAM & MARY LUMBER COMPANY LLC,"515. YORKSHIRE DRIVE BIRMINGHAM, AL 35209 USA",DOUALA
"BUNDLES OF SAWN TIMBER AZOBE ( LOPHIRA ALATA), AD CTS DIV ERS OT 71514",TO ORDER BOLLORE AFRICA LOGISTICS,BOLLORE LOGISTICS USA INC,BOLLORE AFRICA LOGISTICS P/C C.F,07/25/2017,32377,14717,Algeciras,"New York/Newark Area, Newark, New Jersey",NORTHERN MAGNUM,Spain,N/M,BP 1616 DOUALA CAMEROUN TEL +237 33 43 07 11 1-7323036049 TEL EX 60,BP 1616 DOUALA CAMEROUN TEL +237 33 43 07 11 237-233501283 TEL EX 237-2334 26,1-732303,1,MSKU0924268,4EB0,8,BDL,13,CM,MAEU960964122, , ,1706,CM0104357,GERMANY, ,MAEU,MAERSK LINE,MADISON,NJ,07940-0880,"2 GIRALDA FARMS, MADISON AVE.","WILLIAM G. MOORE &SON, INC OF DELAW",PO BOX 6309 NJ 07728 FREEHOLD,DOUALA
"BUNDLES OF SAWN TIMBER AZOBE ( LOPHIRA ALATA), AD OT 714 50 CTS DIVERS FSC100%",TO ORDER BOLLORE AFRICA LOGISTICS P,BOLLORE LOGISTICS USA INC,BOLLORE AFRICA LOGISTICS P/C C F K,05/01/2017,33834,15379,Algeciras,"New York/Newark Area, Newark, New Jersey",MAERSK CHICAGO,Spain,N/M,BP 1616-DOUALA - CAMEROUN TEL: +237 33 43 07 11 +237 795383 DR.15072386 1-7323036049 TEL EX 60,BP 1616-DOUALA - CAMEROUN TEL: +237 33 43 07 11 +237 795383 DR.15072386 237-233430711 TEL EX 237-2334 23,1-732303,1,MSKU1207560,4EB0,8,BDL,13,CM,SAFM769472914, , ,1704,CM0241700,UNITED STATES, ,SAFM,SAFMARINE CONTAINER LINES (HEREINAFTER SAFMARINE),MADISON,NJ,07940-0880,GIRALDA FARMS #2 MADISON AVE PO BOX 880,"WILLIAM G MOORE & SON,INC OF DELAWA",PO BOX 6309 NJ 07728 FREEHOLD,DOUALA
"BUNDLES OF SAWN TIMBER AZOBE (LOPHIRA ALATA), AD OT 7143 8 CT16-788 BUNDLES OF SAWN TIMBER AZOBE (LOPHIRA ALATA), AD OT 7143 8 CT16-788 BUNDLES OF SAWN TIMBER AZOBE (LOPHIRA ALATA), AD OT 7143 8 CT16-788 BUNDLES OF SAWN TIMBER AZOBE (LOPHIRA ALATA), AD OT 7143 8 CT16-788 BUNDLES OF SAWN TIMBER AZOBE (LOPHIRA ALATA), AD OT 7143 8 CT16-788 BUNDLES OF SAWN TIMBER AZOBE (LOPHIRA ALATA), AD OT 7143 8 CT16-788 BUNDLES OF SAWN TIMBER AZOBE (LOPHIRA ALATA), AD OT 7143 8 CT16-788",TO ORDER GETMA P/C CFK,GETMA PC CFK,GETMA P/C CFK,04/12/2017,263183,119629,Tangier,"Houston, Texas",MAERSK COLUMBUS,Morocco,N/M N/M N/M N/M N/M N/M N/M,BP 1616 DOUALA CAMEROUN TEL: +237 33430711 - 1-2058715462 TEL EX 64,BP 1616 DOUALA CAMEROUN TEL: +237 33430711 - 237-233430711 TEL EX 237-2334 23,1-205263,7,MSKU5771285 MSKU5602496 MSKU2846539 MRKU7549260 MSKU7953479 MSKU7343497 MSKU7337637,2CB0 2CB0 2CB0 2CB0 2CB0 2CB0 2CB0,84,BDL,108,CM,MAEU959419227, , ,1702,CM0157173 CM0157176 CM0000000 CM0157172 CM0154738 CM0157175 CM0154735,UNITED STATES, ,MAEU,MAERSK LINE,MADISON,NJ,07940-0880,"2 GIRALDA FARMS, MADISON AVE.",WILLIAM & MARY LUMBER COMPANY LLC,515 YORKSHINE DRIVE BIMINGHAN AL 35209 USA,DOUALA
"BUNDLES OF SAWN TIMBER AZOBE ( LOPHIRA ALATA), AD OT 713 19 FSC16-466-100%",TO ORDER GETMA CAMEROUN/DOUALA,TO ORDER GETMA CAMEROUN/DOUALA,GETMA CAMEROUN/DOUALA,11/21/2016,42057,19117,Algeciras,"New York/Newark Area, Newark, New Jersey",MAERSK DENVER,Spain,N/M,FOR ACCOUNT CFK BP. 1616 DOUALA - CAMEROUN 1-7323036049 TEL EX 1-732303 60,FOR ACCOUNT CFK BP. 1616 DOUALA - CAMEROUN 237-233430711 TEL EX 237-2334 23,1-732303,1,GESU6024046,4EB0,9,BDL,17,CM,SAFM571117674, , ,1610,CM0157971,UNITED STATES, ,SAFM,SAFMARINE CONTAINER LINES (HEREINAFTER SAFMARINE),MADISON,NJ,07940-0880,GIRALDA FARMS #2 MADISON AVE PO BOX 880,"WILLIAM G MOORE & SON,INC OF DELA",PO BOX 6309 NJ 07728 FREEHOLD,DOUALA
