PRODUCT DESCRIPTION,IMPORTER,IMPORTER ENTITY,SHIPPER,ARRIVAL DATE,GROSS WEIGHT (LB),GROSS WEIGHT (KG),FOREIGN PORT,US PORT,VESSEL NAME,COUNTRY OF ORIGIN,MARKS &AMP; NUMBERS,CONSIGNEE ADDRESS,SHIPPER ADDRESS,ZIP CODE,NO. OF CONTAINERS,CONTAINER NUMBER,CONTAINER TYPE,QUANTITY,QUANTITY UNIT,MEASUREMENT,MEASUREMENT UNIT,BILL OF LADING,HOUSE VS MASTER,MASTER B/L,VOYAGE NUMBER,SEAL,SHIP REGISTERED IN,IN-BOND ENTRY TYPE,CARRIER CODE,CARRIER NAME,CARRIER CITY,CARRIER STATE,CARRIER ZIP,CARRIER ADDRESS,NOTIFY PARTY,NOTIFY ADDRESS,PLACE OF RECEIPT
"02 PIECES - GREENHEART PILES 1 0-11 BUTT X 30' 02 PIECES - GREENHEART PILES 12-14 BUTT X 25' 08 PIECES - GREENHEART PILES 12-15 BUTT X 30' 09 PIECES - GREENHEART PILES 12- 15 BUTT X 35' 11 PIECES - GR, EENHEART PILES 13-14 BUTT X 39'","BASILICATO NORTH AMERICA, LLC",BASILICATO NORTH AMERICA LLC,WOODPECKER TIMBERS,05/19/2025,59194,26906,Puerto Manzanillo,"Philadelphia, Pennsylvania",POLAR MEXICO,Panama,N/M,"1001 S. MYRTLE AVE. SUITE 1 CLEARWATER, FL 33756 USA 17275813593",BLOCK 'BR' T''HUIS'TE COVERDEN EAST BANK DEMERARA GUYANA 5926886579,33756,1,MRSU4504789,4EB0,32,PCS,23,CM,MAEU251689053, , ,519N,380843 PA0467156,SINGAPORE, ,MAEU,MAERSK LINE,MADISON,NJ,07940-0880,"2 GIRALDA FARMS, MADISON AVE.",-NOT AVAILABLE-,-NOT AVAILABLE-,GEORGETOWN
"05 PIECES - GREENHEART PILES 1 2-14 BUTT X 30' 04 PIECES - GREENHEART PILES 12-14 BUTT X 35' 18 PIECES - GREENHEART PILES 12-15 BUTT X 39' 04 PIECES - GREENHEART PILES 9 BUTT X 20' 01 PIECES - GREE NHEART PILES 11 BUTT X 16' 0 4 PIECES - GREENHEART PILES 10 -11 BUTT X 20' 07 PIECES - GREENHEART PILES 10-11 BUTT X 25' 13 PIECES - GREENHEART, PILES 10-11 BUTT X 30' 06 P IECES - GREENHEART PILES 12-1 5 BUTT X 20' 05 PIECES - GRE ENHEART PILES 12-15 BUTT X 2 5' 08 PIECES - GREENHEART PIL ES 12-15 BUTT X 30'","BASILICATO NORTH AMERICA, LLC",BASILICATO NORTH AMERICA LLC,WOODPECKER TIMBERS,05/19/2025,97624,44375,Puerto Manzanillo,"Philadelphia, Pennsylvania",POLAR MEXICO,Panama,N/M N/M,"1001 S. MYRTLE AVE. SUITE 1 CLEARWATER, FL 33756 USA 17275813593",BLOCK 'BR' THUIS'TE COVERDEN EAST BANK DEMERARA GUYANA 5926886579,33756,2,MRSU3611545 MSKU0995467,4EB0 4EB0,75,PCS,38,CM,MAEU252409920, , ,519N,381181 PA0467211 381129 PA0467213,SINGAPORE, ,MAEU,MAERSK LINE,MADISON,NJ,07940-0880,"2 GIRALDA FARMS, MADISON AVE.",-NOT AVAILABLE-,-NOT AVAILABLE-,GEORGETOWN
FREIGHT COLLECT 168 PIECES ROUGH SAWN GREENHEART LUMBER - 7229BM/17.04CBM 27 PIECES ROUGH SAWN WASHIBA LUMBER - 797BM/1.89CBM,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,VARIETY WOODS GREENHEART LTD,05/19/2025,60522,27510,Port Bustamante,"New York, New York",MARFRET GUYANE,Jamaica,EFPIPO 55649/ 55660/55637/55644 /POG/WAXED ENDS,"PO BOX 922 578 SOUND AVENUE WADING RIVER, NY 11792 TE USA",99 LALUNI STREET QUEENSTOWN GEORGETOWN GUYANA,11792,1,TCNU5608977,4500,195,PCS,0,CM,CMDUCUY0114170, , ,0UAKB,C7950498 CETO381025,FRANCE, ,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,EVERGREEN FOREST PRODUCTS INC,"PO BOX 922 578 SOUND AVENUE WADING RIVER, NY 11792","GEORGETOWN, GY"
21 PIECES - GREENHEART PILES 1 4-16 BUTT X 39',"BASILICATO NORTH AMERICA, LLC",BASILICATO NORTH AMERICA LLC,WOODPECKER TIMBERS,05/12/2025,59161,26891,Puerto Manzanillo,"Port Everglades, Florida",MAERSK NEWHAVEN,Panama,N/M,"1001 S. MYRTLE AVE. SUITE 1 CLEARWATER, FL 33756 USA 17275813593",BLOCK 'BR' T''HUIS'TE COVERDEN EAST BANK DEMERARA GUYANA 5926886579,33756,1,MRSU4387403,4EB0,21,PCS,23,CM,MAEU251688932, , ,518N,380844 PA0467134,SINGAPORE, ,MAEU,MAERSK LINE,MADISON,NJ,07940-0880,"2 GIRALDA FARMS, MADISON AVE.",-NOT AVAILABLE-,-NOT AVAILABLE-,GEORGETOWN
FREIGHT COLLECT ROUGH SAWN GREENHEART LUMBER - 8015BM / 18.90,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,VARIETY WOODS GREENHEART LTD,05/01/2025,62788,28540,Port Bustamante,"New York, New York",MARFRET GUYANE,Jamaica,EFPI PO 55649/55660/ POG/WAXED ENDS,"PO BOX 922 578 SOUND AVENUE WADING RIVER, NY 11792 TE USA",99 LALUNI STREET QUEENSTOWN GEORGETOWN GUYANA,11792,1,CMAU4296683,4500,149,PCS,0,CM,CMDUCUY0114090, , ,0UAK5,C7950497 CETO380645,FRANCE, ,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,EVERGREEN FOREST PRODUCTS INC,"PO BOX 922 578 SOUND AVENUE WADING RIVER, NY 11792","GEORGETOWN, GY"
19 PIECES - GREENHEART PILES 13 -16 BUTT X 4 19 PIECES - GREENHEART PILES 13 -16 BUTT X 4 FREIGHT COLLECT,"BASILICATO NORTH AMERICA, LLC",BASILICATO NORTH AMERICA LLC,WOODPECKER TIMBERS,05/01/2025,115049,52295,Cartagena,"Philadelphia, Pennsylvania",MATTHEW SCHULTE,Colombia,NO MARKS NO MARKS,"1001 S. MYRTLE AVE. SUITE 1 CLEARWATER, FL 33756 USA",BLOCK 'BR' T HUIS'TE COVERDEN EAST BANK DEMERARA GUYANA TE SOUTH AMERICA,33756,2,ECMU8092063 ECMU8140670,9500 9500,38,PCS,0,CM,CMDUCUY0114173, , ,0LIHE,380958 C7950508 380975 C7950504,SINGAPORE, ,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,-NOT AVAILABLE-,-NOT AVAILABLE-,"GEORGETOWN, GY"
ROUGH SAWN GREENHEART LUMBER - 7104BM ALL DUNNAGE IS FUMIGATED WITH LUMBER IN CONTAINER FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID TO WEIGH SAID TO BE,WILLIAM G MOORE & SON INC,WILLIAM G. MOORE & SON INC,VARIETY WOODS & GREENHEART LTD,04/21/2025,54520,24782,Cartagena,"New York/Newark Area, Newark, New Jersey",ZIM CORAL,Colombia,WGM 9541 P.O.G/ WAXED ENDS,"OF DELAWARE 218 SCHANCK ROAD, PO BOX 6309 FREEHOLD, NEW JERSEY 07728, U.S.A TEL#732-303-6049 FAX:732-303-6075","99 LALUNI STREET, QUEENSTOWN GEORGETOWN GUYANA TEL #: 592-226-8556", ,1,ZCSU7221791,4500,33,PCS,592,CF,ZIMUGTG0020335, , ,6W,CETO380613 A4231559851,HONG KONG, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,WILLIAM G MOORE & SON INC,"OF DELAWARE 218 SCHANCK ROAD, PO BOX 6309 FREEHOLD, NEW JERSEY 07728, U.S.A TEL#732-303-6049 FAX:732-303-6075",GEORGETOWN - GUYA
ROUGH SAWN GREENHEART LUMBER FREIHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID TO WEIGH SAID TO BE,LUMBER DECKING COMPANY DBA TROPICAL,THE LUMBER DECKING COMPANY,SOUTH AMERICA LUMBER,04/08/2025,64815,29461,Cartagena,"Charleston, South Carolina",ZIM CORAL,Colombia,NO MARKS NO NUMBERS,"FOREST PRODUCTS 13876 SW 56 STREET # 175 MIAMI FLORIDA, 33175-6021 U.S.A. TEL #: 905-672-8000",44 WAIAKABRA LINDEN SOESDYKE HIGHWAY GUYANA,33175-6021,1,CAIU4415028,4500,244,PCS,718,CF,ZIMUGTG0020333, , ,6W,CETO380537 A4231548567,HONG KONG, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,LUMBER DECKING COMPANY,EMAIL: USAIROCEAN@WILLSONINTL.COM IMPORTS@TFPWOOD.COM SANGEE@TFPWOOD.COM FERNANDA@TFPWOOD.COM,GEORGETOWN - GUYA
18 PIECES - GREENHEART PILES 13-17 BUTT X 44'FREIGHT PAYABLE AT VIRGINIA BEACH,"BASILICATO NORTH AMERICA, LLC",BASILICATO NORTH AMERICA LLC,WOODPECKER TIMBERS,04/04/2025,62852,28569,Port Bustamante,"Port Everglades, Florida",LILA HAREN,Jamaica,NO MARKS,"1001 S. MYRTLE AVE. SUITE 1 CLEARWATER, FL 33756 USA",BLOCK 'BR' T HUIS'TE COVERDEN EAST BANK DEMERARA GUYANA TE SOUTH AMERICA,33756,1,CAIU5851303,9500,18,PCS,0,CM,CMDUCUY0114007, , ,0AGHJ,380434 C7950503,LIBERIA, ,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,-NOT AVAILABLE-,-NOT AVAILABLE-,"GEORGETOWN, GY"
GREENHEART TIMBER S4S - 174 PCS. / 4664 BF / 11.00 M3 FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID TO BE SAID TO WEIGH,MARINE CONSTRUCTION SUPPLY LLC,MARINE CONSTRUCTION SUPPLY LLC,TRUEVINE INTERNATIONAL IMPORT &,04/02/2025,33819,15372,Cartagena,"Boston, Massachusetts",ZIM ARIES,Colombia,NO MARKS NO NUMBERS,"4480 SOUTH COBB DR., SUITE H383 SMYRNA, GA 30080 USA",EXPORT 187 PARAFIELD LEONORA WEST COAST DEMERARA GUYANA,30080,1,TRHU3374786,2200,174,PCS,388,CF,ZIMUGTG0020209, , ,5W,CETO194020 A4231561973,LIBERIA, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,MARINE CONSTRUCTION SUPPLY LLC,CONTACT: PETER MANNING PHONE: 770-363-6745,GEORGETOWN - GUYA
