Year,Country,Product,Flows,Value OR Volume,Unit,Superscript
1990,Gabon,Ind. roundwood,Production Quantity,1633,1000 m3,I
1991,Gabon,Ind. roundwood,Production Quantity,1800,1000 m3,I
1992,Gabon,Ind. roundwood,Production Quantity,1800,1000 m3,I
1993,Gabon,Ind. roundwood,Production Quantity,1859,1000 m3,I
1994,Gabon,Ind. roundwood,Production Quantity,2127,1000 m3,I
1995,Gabon,Ind. roundwood,Production Quantity,2298,1000 m3,I
1996,Gabon,Ind. roundwood,Production Quantity,2700,1000 m3,I
1997,Gabon,Ind. roundwood,Production Quantity,2775,1000 m3,I
1998,Gabon,Ind. roundwood,Production Quantity,2775,1000 m3,I
1999,Gabon,Ind. roundwood,Production Quantity,3634.7,1000 m3,
2000,Gabon,Ind. roundwood,Production Quantity,3729,1000 m3,I
2001,Gabon,Ind. roundwood,Production Quantity,4229,1000 m3,I
2002,Gabon,Ind. roundwood,Production Quantity,3624.72,1000 m3,I
2003,Gabon,Ind. roundwood,Production Quantity,3575.1,1000 m3,I
2004,Gabon,Ind. roundwood,Production Quantity,3509,1000 m3,I
2005,Gabon,Ind. roundwood,Production Quantity,3208,1000 m3,I
2006,Gabon,Ind. roundwood,Production Quantity,3509,1000 m3,I
2007,Gabon,Ind. roundwood,Production Quantity,3908,1000 m3,I
2008,Gabon,Ind. roundwood,Production Quantity,3309,1000 m3,I
2009,Gabon,Ind. roundwood,Production Quantity,3957.23,1000 m3,I
2010,Gabon,Ind. roundwood,Production Quantity,2410,1000 m3,I
2011,Gabon,Ind. roundwood,Production Quantity,1910,1000 m3,I
2012,Gabon,Ind. roundwood,Production Quantity,1729.41,1000 m3,I
2013,Gabon,Ind. roundwood,Production Quantity,2020,1000 m3,I
2014,Gabon,Ind. roundwood,Production Quantity,2220,1000 m3,I
2015,Gabon,Ind. roundwood,Production Quantity,2020,1000 m3,I
2016,Gabon,Ind. roundwood,Production Quantity,2020,1000 m3,X
2017,Gabon,Ind. roundwood,Production Quantity,2320,1000 m3,I
2018,Gabon,Ind. roundwood,Production Quantity,2820,1000 m3,I
2019,Gabon,Ind. roundwood,Production Quantity,2925,1000 m3,I
2020,Gabon,Ind. roundwood,Production Quantity,3094.22,1000 m3,I
2021,Gabon,Ind. roundwood,Production Quantity,3771.18,1000 m3,I
2022,Gabon,Ind. roundwood,Production Quantity,3771.18,1000 m3,X
2023,Gabon,Ind. roundwood,Production Quantity,3771.18,1000 m3,X
1990,Gabon,Ind. roundwood (C),Production Quantity,0,1000 m3,
1991,Gabon,Ind. roundwood (C),Production Quantity,0,1000 m3,
1992,Gabon,Ind. roundwood (C),Production Quantity,0,1000 m3,
1993,Gabon,Ind. roundwood (C),Production Quantity,0,1000 m3,
1994,Gabon,Ind. roundwood (C),Production Quantity,0,1000 m3,
1995,Gabon,Ind. roundwood (C),Production Quantity,0,1000 m3,
1996,Gabon,Ind. roundwood (C),Production Quantity,0,1000 m3,
1997,Gabon,Ind. roundwood (C),Production Quantity,0,1000 m3,
1998,Gabon,Ind. roundwood (C),Production Quantity,0,1000 m3,
1999,Gabon,Ind. roundwood (C),Production Quantity,0,1000 m3,
2000,Gabon,Ind. roundwood (C),Production Quantity,14,1000 m3,I
2001,Gabon,Ind. roundwood (C),Production Quantity,13,1000 m3,I
2002,Gabon,Ind. roundwood (C),Production Quantity,10,1000 m3,I
2003,Gabon,Ind. roundwood (C),Production Quantity,12,1000 m3,I
2004,Gabon,Ind. roundwood (C),Production Quantity,9,1000 m3,I
2005,Gabon,Ind. roundwood (C),Production Quantity,8,1000 m3,I
2006,Gabon,Ind. roundwood (C),Production Quantity,9,1000 m3,I
2007,Gabon,Ind. roundwood (C),Production Quantity,8,1000 m3,I
2008,Gabon,Ind. roundwood (C),Production Quantity,9,1000 m3,I
2009,Gabon,Ind. roundwood (C),Production Quantity,10,1000 m3,I
2010,Gabon,Ind. roundwood (C),Production Quantity,10,1000 m3,X
2011,Gabon,Ind. roundwood (C),Production Quantity,10,1000 m3,X
2012,Gabon,Ind. roundwood (C),Production Quantity,20,1000 m3,I
2013,Gabon,Ind. roundwood (C),Production Quantity,20,1000 m3,X
2014,Gabon,Ind. roundwood (C),Production Quantity,20,1000 m3,X
2015,Gabon,Ind. roundwood (C),Production Quantity,20,1000 m3,X
2016,Gabon,Ind. roundwood (C),Production Quantity,20,1000 m3,X
2017,Gabon,Ind. roundwood (C),Production Quantity,20,1000 m3,X
2018,Gabon,Ind. roundwood (C),Production Quantity,20,1000 m3,X
2019,Gabon,Ind. roundwood (C),Production Quantity,25,1000 m3,I
2020,Gabon,Ind. roundwood (C),Production Quantity,30,1000 m3,I
2021,Gabon,Ind. roundwood (C),Production Quantity,40,1000 m3,I
2022,Gabon,Ind. roundwood (C),Production Quantity,40,1000 m3,X
