PRODUCT DESCRIPTION,IMPORTER,IMPORTER ENTITY,SHIPPER,ARRIVAL DATE,GROSS WEIGHT (LB),GROSS WEIGHT (KG),FOREIGN PORT,US PORT,VESSEL NAME,COUNTRY OF ORIGIN,MARKS &AMP; NUMBERS,CONSIGNEE ADDRESS,SHIPPER ADDRESS,ZIP CODE,NO. OF CONTAINERS,CONTAINER NUMBER,CONTAINER TYPE,QUANTITY,QUANTITY UNIT,MEASUREMENT,MEASUREMENT UNIT,BILL OF LADING,HOUSE VS MASTER,MASTER B/L,VOYAGE NUMBER,SEAL,SHIP REGISTERED IN,IN-BOND ENTRY TYPE,CARRIER CODE,CARRIER NAME,CARRIER CITY,CARRIER STATE,CARRIER ZIP,CARRIER ADDRESS,NOTIFY PARTY,NOTIFY ADDRESS,PLACE OF RECEIPT
"'SHIPPER'S LOAD, COUNT & SEALED' 2 X 20' CONTAINER (40 PCS) CY / CY 40 PIECES 36.600 MT RBD COCONUT OIL PACKING IN IBC PAPER TOTES 40 X 915 KG TOTES 'SHIPPER'S LOAD, COUNT & SEALED' 2 X 20' CONTAINER (40 PCS) CY / CY 40 PIECES 36.600 MT RBD COCONUT OIL PACKING IN IBC PAPER TOTES 40 X 915 KG TOTES SCIENTIFIC NAME: COCOS NUCIFERA COPY NON-NEGOTIABLE B/L RELEASE PROCEDURES FREIGHT COLLECT SCIENTIFIC NAME: COCOS NUCIFERA COPY NON-NEGOTIABLE B/L RELEASE PROCEDURES FREIGHT COLLECT",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,SAN PABLO MANUFACTURING CORPORATION,02/20/2016,84744,38520,Kaohsiung,"Los Angeles, California",APL HOUSTON,China Taiwan,NO MARKS AND NUMBERSNO MARKS AND NUMBERS,"12420 SE CARPENTER DRIVE CLACKAMAS, OR 97015","16TH FLR UCPB BLDG., MAKATI AVENUE MAKATI CITY, PHILIPPINES",97015,2,TEMU3349706 SEGU1560631,22G0 22G0,40,PCS,0, ,HDMUMLWB0107663, , ,0013E,E963976 E963930,SINGAPORE, ,HDMU,HYUNDAI MERCHANT MARINE,SEOUL, , ,879 W 190TH ST 7TH FL,BRIDGEWELL RESOURCES LLC,"12420 SE CARPENTER DRIVE CLACKAMAS, OR 97015 CTC PERSON: CINDY BREHL","MANILA, PHILIPPIN"
"'SHIPPER'S LOAD, COUNT & SEALED' 2 X 20' CONTAINER (40 PCS) CY / CY 40 PIECES 36.600 MT RBD COCONUT OIL PACKING IN IBC PAPER TOTES 40 X 915 KG TOTES 'SHIPPER'S LOAD, COUNT & SEALED' 2 X 20' CONTAINER (40 PCS) CY / CY 40 PIECES 36.600 MT RBD COCONUT OIL PACKING IN IBC PAPER TOTES 40 X 915 KG TOTES SCIENTIFIC NAME: COCOS NUCIFERA COPY NON-NEGOTIABLE B/L RELEASE PROCEDURES FREIGHT COLLECT SCIENTIFIC NAME: COCOS NUCIFERA COPY NON-NEGOTIABLE B/L RELEASE PROCEDURES FREIGHT COLLECT",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,SAN PABLO MANUFACTURING CORPORATION,02/20/2016,84744,38520,Kaohsiung,"Los Angeles, California",APL HOUSTON,China Taiwan,NO MARKS AND NUMBERSNO MARKS AND NUMBERS,"12420 SE CARPENTER DRIVE CLACKAMAS, OR 97015","16TH FLR UCPB BLDG., MAKATI AVENUE MAKATI CITY, PHILIPPINES",97015,2,FCIU5386832 FCIU5151170,22G0 22G0,40,PCS,0, ,HDMUMLWB0107760, , ,0013E,E963848 E963891,SINGAPORE, ,HDMU,HYUNDAI MERCHANT MARINE,SEOUL, , ,879 W 190TH ST 7TH FL,BRIDGEWELL RESOURCES LLC,"12420 SE CARPENTER DRIVE CLACKAMAS, OR 97015 CTC PERSON: CINDY BREHL","MANILA, PHILIPPIN"
REFINED RICE BRAN OIL REFINED RICE BRAN OIL,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,A.P.ORGANICS LTD,02/13/2016,98230,44650,Pusan,"Tacoma, Washington",YM CYPRESS,South Korea,NO MARKSNO MARKS,". 12420 SE CARPENTER DRIVE CLACKAMAS,OR 97015 USA",". SARON ROAD, DHURI DISTT SANGRUR PUNJAB INDIA",97015,2,TRHU1534268 SEGU1069042,2CG0 2CG0,2,PKG,0, ,HJSCLDH502837200, , ,0133E,147228CH3795632 147229 CH3795622,LIBERIA, ,HJSC,HANJIN SHIPPING COMPANY LTD,PARAMUS,NJ,7652,80 EAST RT 4 SUITE 490,TLR-TOTAL LOGISTICS RESOURCES LLC,"11855 NE GLENN WIDING DRIVE PORTLAND,OR 97220 KIND ATTN MR MARGARET MOWERY","LUDHIANA,ICD"
"COCONUT OIL IN DRUMS/IBC 1 X 20' DRY CONTAINER VAN CONTAINING ORGANIC RBD COCONUT OIL, NOP CERTIFIED, PH-BIO-154 PACKED IN 1000 LITER CORRUGATED IBC WITH HEATING ELEMENT (110V), AS PER SPECIFICATIONS OF SC GLOBAL COCO PRODUCTS, INC. . NET WEIGHT 18.30 MT THE SAME THE SAME THE SAME THE SAME THE SAME",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,"SC GLOBAL COCO PRODUCTS, INC.",02/10/2016,42372,19260,Kaohsiung,"Los Angeles, California",EVER SHINE,China Taiwan,"ORGANIC RBD COCONUT OIL ORGANIC RBD COCONUT OIL LOT NO. 073 151201 008 MFG. DATE 01/DECEMBER/2015 NET WEIGHT 915 KG. INGREDIENTS ORGANIC COCONUT OILSTORAGE CONDITIONS COOL ( 70 F/21 C) DO NOT EXPOSE TO OXYGEN, HEAT,LIGHT AND MOISTURE MANUFACTURED IN PHILIPPINES","10200 SW GREENBURG RD., STE 500 TIG ARD, OR 97223 USA TRL 503-872-3566 LOCAL 800-570-3566 TOLL FREE","NATIONAL HIGHWAY, BRGY. CARIDAD, BAYBAY CITY, LEYTE PHILIPPINES 6521",97223,1,EITU0075111,22G1,20,PKG,25,X,EGLV061600000470, , ,0807E,EMCBAC7094,UNITED KINGDOM, ,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338, , ,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,BRIDGEWELL RESOURCES FOOD & AG,"PRODUCTS DIVISION 12420 SE CARPENTER DR CLACKAMAS, OR LOCAL 800-570-3566 TOLL FREE",CEBU
UREA 46%N PRILLED UREA 46%N PRILLED UREA 46%N PRILLED UREA 46%N PRILLEDUREA 46%N PRILLED UREA 46%N PRILLED UREA 46%N PRILLEDUREA 46%N PRILLED,BRIDGEWELL RESOURCES LLC.,BRIDGEWELL RESOURCES LLC,"SINO STARCO CHEMICAL CO.,LIMITED",01/21/2016,689832,313560,Ching Tao,"Tacoma, Washington",HYUNDAI SPLENDOR,China,NO MARKSNO MARKSNO MARKSNO MARKSNO MARKSNO MARKSNO MARKSNO MARKSNO MARKSNO MARKSNO MARKSNO MARKS,"12420 SE CARPENTERDRIVE CLACKAMAS,OR 97015 USA","2 MINJIANG ROAD B-2403, QINGDAO 266071,P.R.CHINA",97015,12,CAIU9714000 APHU6849455 APHU6423623 GESU5679964 APHU6420820APHU6497781 FCIU8659904 APHU7357866 APHU7242677 DRYU9124875APHU6312548 FCIU8108584,45G0 45G0 45G0 45G0 45G045G0 45G0 45G0 45G0 45G045G0 45G0,312,PKG,312,X,PPILQD057798,H,APLU065948642,53,AN40513003 AN40513004 AN40513042 AN40513064 AN40513001 AN40513006 AN40513061 AN40513063 AN40513005 AN40513002 AN40513044 AN40513062,UNITED KINGDOM, ,PPIL, , , , , ,-NOT AVAILABLE-, ,"QINGDAO, CHINA"
RBD COCONUT OIL RBD COCONUT OIL RBD COCONUT OIL,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,PT. SARI MAS PERMAI,01/17/2016,142626,64830,Singapore,"Los Angeles, California",NYK THEMIS,Singapore,NO MARKSNO MARKSNO MARKS,". 12420 SE CARPENTER DRIVE CLACKAMAS, OR 97015",". JL. WARU GUNUNG 23, SURABAYA JAWA TIMUR, INDONESIA 60221",97015,3,HJCU8179718 HJCU8283893 TGHU1912670,2CG0 2CG0 2CG0,3,PKG,0, ,HJSCSUB506509200, , ,0038E,HE528196 HE528198 HE528197,PANAMA, ,HJSC,HANJIN SHIPPING COMPANY LTD,PARAMUS,NJ,7652,80 EAST RT 4 SUITE 490,TLR - TOTAL LOGISTICS RESOURCE,". 11855 NE GLENN WIDING DRIVE PORTLAND, OR 97220","SURABAYA, JAVA"
85.920MT RBD COCONUT OIL PACK ING IN FLEXIBAGS WITH HEATING PADS 4 FLEXIBAGS SCIENTI FIC NAME: COCOS NUCIFERA 85.920MT RBD COCONUT OIL PACK ING IN FLEXIBAGS WITH HEATING PADS 4 FLEXIBAGS SCIENTI FIC NAME: COCOS NUCIFERA 85.920MT RBD COCONUT OIL PACK ING IN FLEXIBAGS WITH HEATING PADS 4 FLEXIBAGS SCIENTI FIC NAME: COCOS NUCIFERA 85.920MT RBD COCONUT OIL PACK ING IN FLEXIBAGS WITH HEATING PADS 4 FLEXIBAGS SCIENTI FIC NAME: COCOS NUCIFERA,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,GRANEXPORT MANUFACTURING CORP.,01/08/2016,208557,94799,Shanghai,"Long Beach, California",MAERSK ALTAIR,China,N/MN/MN/MN/M,"12420 SE CARPENTER DRIVE CLACKAMAS, OR 97015 1-5037235410 TEL EX 1-503723 54","16TH FLOOR, UCPB BUILDING, MAKATI A MAKATI CITY, PHILIPPINES 1200 63-28927961 TEL EX 63-28927 96",97015,4,MRKU9066804 MRKU9050876 MRKU8939299 MRKU8133359,2CB0 2CB0 2CB0 2CB0,4,PCS,92,CM,MAEU955285372, , ,550N,PH0965960 PH0965857 PH0965954 PH0965964,SINGAPORE, ,MAEU,MAERSK LINE,MADISON,NJ,07940-0880,"2 GIRALDA FARMS, MADISON AVE.",BRIDGEWELL RESOURCES LLC,"12420 SE CARPENTER DRIVE CLACKAMAS, OR 97015 CTC PERSON: CINDYBREHL 1-5037235410 TEL EX 1-503723 54",CAGAYAN DE ORO
PLYWOOD S-C-EB15-0994 NO WOOD PACKING MATERIAL IS USED IN THE SHIPMENT FREIGHT COLLECT PLYWOOD S-C-EB15-0994 NO WOOD PACKING MATERIAL IS USED IN THE SHIPMENT FREIGHT COLLECT,BRIDGEWELL RESOURCES LLC.,BRIDGEWELL RESOURCES LLC,"JIANGXI WIN-WIN TRADING CO.,LTD.",01/05/2016,114400,52000,Pusan,"Tacoma, Washington",HYUNDAI COURAGE,South Korea,MARKS AND NUMBERS WITH CONTAINER APHU639556754895-754899,10200 SW GREENBURG RD SUITE 500 TIGARD OREGON 97233 U.S.A. TEL 503-872-3566,NO.1 NORTH LATITUDE ROAD DOWNTOWN OF POYANG COUNTY SHANGRAO CITY JIANGXI CHINA,97233,2,APHU6427491 APHU6395563,45G0 45G0,36,CRT,111,CM,APLU660056715, , ,49,AN50316535 AN50316635,PANAMA, ,APLU,APL CO PTE LTD-NOL GROUP, , , ,456 ALEXANDRIA RD NOL BLDG #06-00,BRIDGEWELL RESOURCES LLC.,10200 SW GREENBURG RD SUITE 500 TIGARD OREGON 97233 U.S.A. TEL 503-872-3566,"QINGDAO, PC"
High Oleic Refined Sunflower Oil,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,SABO ITALIA SRL,12/21/2015,40713,18506,Livorno,"Long Beach, California",MSC JAPAN,Italy,SABO ITALIA SRL,"12420 SE Carpenter Drive CLACKAMAS, OR 97015 US","VIA DEGLI ARTIGIANI, 20/22 LASTRA A SIGNA, FI 50055 IT",35410,1,MSCU3680612,2210,19,CTN,0,CM,CDCCLI1159082000,H,MSCULS783847,547,6741922,PANAMA, ,CDCC,CDC CARIBE INC,SAN JUAN,PR,920,2000 KENNEDY AVE STE 207,-NOT AVAILABLE-, ,LASTRA A SIGNA
HIGH OLEIC REFINED SUNFLOWER OIL PO: 00754892,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,SABO ITALIA SRL,12/21/2015,40713,18506,Sines,"Long Beach, California",MSC JAPAN,Portugal,NO MARKS,12420 SE CARPENTER DRIVE CLACKAMAS OR 97015 UNITED STATES,LOC.GINESTRA FIORENTINA VIA DEGLI A LASTRA A SIGNA 50055 ITALY,97015,1,MSCU3680612,2210,19,PKG,0, ,MSCULS783847,M, ,547A,6741922,PANAMA, ,MSCU,MSC-MEDITERRANEAN SHIPPING COMPANY S A,GENEVA, ,CH 1206,40 AVENUE EUGENE PITTARD,TLR-TOTAL LOGISTICS RESOURCE INC,11855 N.E. GLENN WIDING DRIVEFMC# 1 PORTLAND OR 97220 UNITED STATES,LIVORNO
