objectid,indicatif,aff_code,toponyme,n_concessi,sup_sig,bureau_cer,wood_vol06,wood_vol07,wood_vol08,rfa_ha,validite,attributai,date_attri,exploitant,groupe_par,province,departemen,commune,sup_provis,classement,date_class,ref_classe,sup_defini,plan_amgmt,date_appro,ref_appro,observatio,certif_fm,certif_cw,certif_leg,date_fm,date_cw,date_legal,statut,shape_leng,nom,ref_doc_of,type_doc_o,date_,classe,gfwid,globalid,shape_Length,shape_Area
1,041000701,Fx,11-004,1089,15232.8440193, ,0,33228,26652,1600,V,SEFECAM,2006,Boitex,NA,Sud Ouest,Manyu, ,15310,EnCours,NA,NA,NA,Plan Aménagement Approuvé,2009,ND, , , , , , , ,Attribué,62566.9920576, , , , , ,e646838d-f557-48a0-8890-c6bffc5c84ff,{0E20F111-54F2-487D-95E2-5A8C47820E9F},63140.7694876366,155100242.062586
2,041000701,Fx,11-003,1089,32454.5457961, ,0,0,0,1600,V,SEFECAM,2006,Boitex,NA,Sud Ouest,Manyu, ,32620,Classee,1997,97/073/P,32620,Plan Aménagement Approuvé,2009,ND, , , , , , , ,Attribué,135308.993178, , , , , ,576a6001-60b1-450e-a82a-0d5ed68e2283,{EC3F108A-D2E8-4325-865D-130C056FD5B2},136498.161644668,330391519.089552
3,041000701,Fx,10-065,1090,97605.9524379, ,0,33660,26576,4250,V,SFW, ,NA,NA,Est,Lom et Djerem, ,97122,EnCours,NA,NA,NA,Sans plan d'aménagement,NA,NA, , , , , , , ,Attribué,158500.05374, , , , , ,87a4de5f-80e2-460f-bb56-36b9dfbcaf70,{9760D04F-10CB-427B-B343-53A173C99B45},159318.795191978,984553771.562811
4,041000701,Fx,10-026,1040,128225.154227,Bureau Veritas,52219,42580,39810,4100,V,ALPICAM,2010,ALPICAM,ALPI,Est,Boumba et Ngoko/Kadey,Garigombo,128449,Classee,2005,2005/0258/PM du 26 Jan 2005,126988,Plan Aménagement Approuvé,2004,2385/L/MINEF/SG/DF/SDIAF/SI, , , ,OLB, , ,14/05/2009,Attribué,172444.617011, , , , , ,16a1c5f2-beb0-4bac-b84c-874c40bbc3d6,{0AFA5EDF-FA2C-4280-8C91-936268DE2BE6},172486.875114712,1284457860.22422
5,041000702,Fx,10-025,1070,48320.4247353,RA-Cert,33890,23645,25259,1620,V,SFIL,2010,SFIL,DECOLVENAERE,Est,Boumba et Ngoko,Garigombo,76002,Classee,2005,2005/0257/PM du 26 Jan 2005,47823,Plan Aménagement Approuvé,2009, , , , ,VLC, , ,03/06/2013,Attribué,120999.701301, , , , , ,f852f0f2-177b-4dc0-9c4c-085f53a2cb4e,{22928A2D-6D9E-4FC8-93F7-5FBA774A0D77},121176.794663351,499618325.839405
6,041000701,Fx,10-021,1018,66615.3419452,RA-Cert,43245,37232,27601,1500,V,Green Valley Inc.,2010,SFIL,DECOLVENAERE,Est,Boumba et Ngoko,Yokadouma,71533,Classee,2005,2005/0254/PM du 26 Jan 2005,66183,Plan Aménagement Approuvé,2004,0224/N/MINEF/SG/DF/SDIAF/SA, , , ,VLC, , ,08/04/2013,Attribué,132530.429627, , , , , ,8349a5f5-1598-43e0-9628-3c0baebbf5eb,{A1E76CB8-B888-4B99-A1C8-27D81DC39784},132613.377724494,666973287.083775
7,041000701,Fx,10-023,1007,58582.2711484, ,43250,23942,34249,1500,V,SFCS,1997,ALPI,ALPI,Est,Boumba et Ngoko,Yokadouma,62389,Classee,2005,2005/0256/PM du 26 Jan 2005,57996,Plan Aménagement Approuvé,2004,0221/N/MINEF/SG/DF/SDIAF/SA, , , , , , , ,Attribué,121283.591427, , , , , ,ded7be83-1a4f-407a-b8ea-42a78d1803fa,{086BA9A5-24BA-4ED7-8167-537D1107EE20},121303.119911787,586122707.756658
8,041000701,Fx,10-020,1038,83241.4134495, ,0,34941,15111,1835,V,SIM,2012,SIM,SIM,Est,Boumba et Ngoko,Yokadouma,82571,Classee,2005,2005/0253/PM du 26 Jan 2005,82571,Plan Aménagement Approuvé,2004,1099/N/MINEF/SG/DF/SDIAF/SA, , , , , , , ,Attribué,154842.727965, , , , , ,d946b1cb-4168-4f35-bbf4-5ac65c290d1f,{0982E27E-EB60-449F-9CC4-A8FFE93B49DC},154971.342192807,833326416.60074
9,041000701,Fx,10-022,1039,35509.2721283, ,15316,0,4115,4500,V,SIM,2012,SIM,SIM,Est,Boumba et Ngoko,Yokadouma,48864,Classee,2005,2005/0255/PM du 26 Jan 2005,35090,Plan Aménagement Approuvé,2004,0019/N/MINFOF/SG/DF/SDIAF/SA, , , , , , , ,Attribué,95573.5067899, , , , , ,7d3de205-404b-493a-adab-50ca16ec3636,{6F3EB8AF-D788-435A-891A-8EC9F9F157B5},95614.4701501766,355271265.905878
10,041000702,Fx,10-028,1098,78314.4867679, ,0,0,0,4300,V,Multi-Services Plus,2012,ND,ND,Est,Haut Nyong, ,91063,NA,NA,NA,NA,Sans plan d'aménagement,NA,NA,0214/C/MINFOF/SG/DF/SDAFF/SAG DU 28 Août 2012, , , , , , ,Attribué,155891.530551, , , , , ,82e6eee9-3733-4d13-a0e5-973724172677,{00249BC0-86F2-4678-9FE5-DB9C6D038EA9},156070.598357419,784452288.217941
