Year,AA,ABC,AFBC,ARNAUD,ALPICAM,BILCOVE,BA,BBC,BC,BKB,BMC,BOISCAM,BS,BTC,BTI,CAFECO,CAMWA,CAMES,CANA BOIS,WOODEN CANA,CCT,CIC,CFC,CFK,CUF,DR WOOD,EAW,EFMK,EEMP,EFH,EFMK,EKR,ENJC,ESA,ESTNO,EXOWOOD,FB,FIPCAM,FEEMAM,FIPCAM,FOTRAB,GAD,GB,GDC,GIS,GENINFO,GRUMCAM,GSE,GTI,GVI,GWZ,HF,HIS HAI EXIM,IB,IBUCO,JEAB,JDF,JM,KN & CO,LEF,LES SCIERIES KASA,LCF,LFM,LW,KIEFFER,MEKOGECAM,MEX,MBI,MC ANGYWOOD,MKC,MLC,MMG,MPACKO JEAN,NB,NAMBOIS,NATION BOIS,NAH AND SONG,NAS,NBR,NEC,NF,OA,PLACAM,PROPALM,PROSOFT,SABM,SASBO,SBF,SALIN,SCABOIS,SCACI,SCIEB,SCIFO,SCEBT,SCT,SEDB,SEEF,SEFAC,SEX,SEFECCAM,SEPFCO,SF,SFID,SFD,SFE,SFMF,SGE,SIENCAM,SIF,SIFOC,SIFCAM,SIPSA,SIM,SLES,SMK,SOCANEG,SODETR REGENT,SOBOCA,SOFOCAM,SOFONHY,SOFIBO,SON HAI EXIM,SNCOCAM,SONAFI,SSC,SSS,STJJY,STBois / STBC,S2TBED,TB,TBM,TECHNOBOIS,TNB,TRC,TFE,TTS,TWTA,TWT AFRICA,VF,WS,ZENITH,ZTN,ZZF
2021,,,,,34,,26,,,29,,,41,456,,,,,,,5214,,,,67,,224,,,,,,,,,,,,325,,,,,,,,,56,1127,,,617,30,200,,,,,365,,,,2204,,,,,60,326,,,,,,,,,,,,302,,,130,,,292,,,,,,,,,192,13,,,6032,,,,,395,,,,345,,,,,,,,,,247,87,,30,,,264,280,,104,82,,,,20,,,,1902,,,840,,,36
2020,,,,,,,498,18,,,,,,413,,,,,,,5346,89,,,421,,,76,,,,,,,,228,,,363,,,,131,,,38,,,1146,58,,,,,,,,,,,,,824,,,,,73,227,,,,,,,,,,,,168,44,,,,,303,,,,190,,,,,190,,105,,11945,,,,,,,,,137,,,,,,,117,,,148,87,,,,,,1002,,,82,,,515,56,,,,1153,,123,,,,
2018,,,,,,,,,,,,,,80,251,3361,,,,,6038,824,,5684,688,41,,,,,,,,423,,909,,,49,,210,,,,,,,92,,,,,,98,,,,,232,,,,,,,,,57,,124,,,,39,39,,,,,,43,,,,,,424,,,,,,,,32,596,,,,12301,,,,,,25,26,,,,,,,,,,,,176,,,,,,,1549,,,,1437,,,,,,,,1046,,15,32,,
2017,,,,,,,,,,,,,,134,,7516,,,,,,,,10146,,,,,,,,,,,,114,,,732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,"12,021",,,,,,,,,,233,,,,,28,,,,,,,,,,,,,,,,,145,,,,,,,,,73,,
2016,,,,,,,,,,,,,,85,,10714,,,,,6919,,20,17117,136,,,,,,,,,201,,,,,436,,23,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,2,,9637,,,,,,,,,,,,25,,,,,,,,9,,,,,,50,,,,,,299,,,,,,205,,,71,,
2015,,,,,,,,,,,55,,,18,,14618,,,,,10989,,,11668,122,,,2,,,,,,452,,,,,219,301,163,,,,13,,,,,,,,,,,,,,,,,,,,,315,,,,,21,,,,35,16,,,19,,,,,,,,,138,,,,,,,,,6,,,11620,,,,,,,,,,,,195,,,,,,,,,28,,,,,108,,,,718,,,,,,,,,,,,9,
2014,,,,,,39,,,,,,,,61,,14953,,,,,11613,,,14422,282,,,34,,,,4,,59,,,,,480,,,,,162,124,,,,,,,,,,,,,,,,,,,58,,178,,,,,1103,,,,97,23,,17,,,,,,,,,,227,,,,90,,,,,14,,,10340,,,,,,,,,,,,,,,,,,,,36,689,,,,,23,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,9635,43,,,,13310,,,11202,1197,,,,,,105,,,,374,,,,290,,,,,2274,469,,,,,,2178,,,,,,,149,,,,,,,,,25,,,,559,19,,,59,,,,,,,,78,,,,,108,,,,866,,,,,,8,,,,,,,,,,,,,,,,,,,,,426,,746,,,,,109,,,,,15,,,1059,,,,,,,,,
2012,,,,,,,,,,,,,,,,10291,,,91,,9164,,,,1748,,,,19,,,,,,380,,,,,,,,,3154,,,,,,,15621,,,,,,132,248,,,,,,,,,31,,,,582,3000,,,19,,,,,,,,3,,,,29,,,,,3304,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,979,,,,,,,,,,34,,,2385,,,,,,,,,
2011,,,,,,,,,,,,,,,,9006,,,,,6804,,,,1071,,,,,223,,,,,47,,,5,,,,,,2549,437,,,,,,14784,,,,,,,234,,,,,,,,,,,,,708,1859,,,,,,,,,,,48,,,,34,31,,208,,860,,5,,,87,,,,,,,,,,,,,,,,,,5,,411,,,,295,,,,,,,,,,,,,10966,,,,,,,,,
