Year,Bangladesh,Belgium,China,Taiwan,Finland,Denmark,France,Germany,Greece,India,Italy,Japan,South Korea,Portugal,Morocco,Netherlands,Pakistan,Sri Lanka,Spain,Thailand,Tanzania,Turkey,United Kingdom,UAE,USA,Vietnam
2009,,4536,,,,,,2226,,,116,,,,,,,,,,,,,,,
2010,376,2490,4587,,,,1102,2118,,357,,,230,,200,162,,,335,,,,,,,297
2011,3161,1284,25289,,,,1587,367,,367,1508,,274,,,272,,,,,,,82,,,99
2012,9313,1597,8078,,,,3007,,,750,494,,101,111,,153,,,,,,,395,,,21
2013,2692,580,33679,,,,1193,177,,545,145,47,926,,,1453,692,,,,,529,,,,372
2014,11182,1505,,335,,,261,,,753,213,,619,64,,1207,160,,,192,,,,72,348,348
2015,25321,3928,37201,,31,,830,,,157,1246,75,306,163,,,,33,,1694,,526,,74,,207
2016,16471,4511,35852,147,,34,32,,548,86,416,,,415,,,,,,,,,,191,486,3479
2017,19991,3267,27143,,,16,56,,,,229,21,,,,,,,,,,,,152,,1016
2018,20293,4420,29832,,,,625,,159,,631,22,50,206,,,,,,36,,169,156,,,793
2020,26452,1254,25383,,,,172,,,344,55,142,,1623,,,,,,,110,,,,,1942
2021,26560,587,22887,,,,32,,,518,,,,2711,,,,,,,,,,,,61
