Destination,Australia,Bangladesh,Belgium,Bulgaria,Canada,China,Croatia,Cyprus,Taiwan,Finland,Denmark,Egypt,France,Gabon,Gambia,Germany,Greece,Guadeloupe,India,Ireland,Italy,Israel,Japan,South Korea,Portugal,Lebanon,Lithuania,Kenya,Malaysia,Mauritius,Martinique,Morocco,Netherlands,New Zealand,Pakistan,Philippines,Poland,Russian Federation,Saudi Arabia,Senegal,Sri Lanka,Spain,Switzerland,Thailand,Tanzania,Togo,Tunisia,Turkey,United Kingdom,UAE,USA,Vietnam
2021,,655,20517,,,138,,,125,,,128,621,,,,,,,,23,,,67,116,,,,,,,,22,,,,,19,,,,19,,,,,64,,,,,365
2020,,1115,22808,,,219,,,,,,,1372,,,18,,,,,118,,,,286,,192,,,16,,,18,,,,,,151,,,,,,,,,,,,,
2018,,5,35143,,1,,,,31,,,,260,,,412,,,,,,,,,39,,,,,,,,,168,,48,,,,,,153,,,,,,,20,,,664
2017,,798,"30,361",,,,,,43,,,,140,,,315,,,,,,,,,,,,,,,,,173,,346,,,,,,,,1,,,,,,269,,313,
2016,,,39974,,,192,,,,,,,408,,,452,,9,,,2,,,,,15,,,,,,,205,274,1183,,,,,,,,,,,,,32,2603,,608,89
2015,,478,47580,,,163,156,,,,,,170,,,394,,,,,255,,,,95,,,,,,1,72,,397,551,,,,,,,,,,,,17,18,1166,,767,
2014,,,42292,,,116,,,,,,,49,,,484,,,,33,344,,15,139,67,,,93,,,,36,6723,1059,,,180,,,,,,,,,,12,52,2364,,1068,
2013,,,27106,,,653,,,,,,,1031,,,248,,,,,547,11,,,,,,,,,,,11984,911,,,,,24,194,,,,,,,68,,1377,,1090,
2012,16,,29673,,,,,110,,,33,21,1609,,,672,,,,71,433,,,288,,,,,,,,,15363,755,,,,,,,,,,,,91,,,2810,,592,
2011,,,27731,16,,843,,,,,,,965,64,,,,,,,551,,,,,,,,17,,,141,16521,,,,,,,,,,,,,,,,2695,,646,
2010,,,2083,,,,,,,,32,,1731,,,373,1,,,,306,,,227,,,,,,,,,36032,,,,,,,,,,,,,,1,,,,291,
2009,,,1210,,,,,,,,,112,1187,,141,,,,,,494,,,245,,,,,14,,,,30965,,,,,,,,,32,,,,,,,,,,
