PRODUCT DESCRIPTION,IMPORTER,IMPORTER ENTITY,SHIPPER,ARRIVAL DATE,GROSS WEIGHT (LB),GROSS WEIGHT (KG),FOREIGN PORT,US PORT,VESSEL NAME,COUNTRY OF ORIGIN,MARKS &AMP; NUMBERS,CONSIGNEE ADDRESS,SHIPPER ADDRESS,ZIP CODE,NO. OF CONTAINERS,CONTAINER NUMBER,CONTAINER TYPE,QUANTITY,QUANTITY UNIT,MEASUREMENT,MEASUREMENT UNIT,BILL OF LADING,HOUSE VS MASTER,MASTER B/L,VOYAGE NUMBER,SEAL,SHIP REGISTERED IN,IN-BOND ENTRY TYPE,CARRIER CODE,CARRIER NAME,CARRIER CITY,CARRIER STATE,CARRIER ZIP,CARRIER ADDRESS,NOTIFY PARTY,NOTIFY ADDRESS,PLACE OF RECEIPT,YEAR,SHIPPER_CLEANED,alan,alder,ash,azobe,balau,balsam,baromalli,beech,birch,bulletwood,burada,cabeza de mono,cara euc,cara pino,cedar,cherry,conifer,cowwood,crabwood,cuiabano pine,curupau,dakama,darina,douglas fir,drm red,dukali,ekki,elliotii pine,elliotis,elliotis pine,elliottis,eperua falcata,eucalyptus cloezina,european beech,fir,garlicwood,greenheart,guizotia abyssinica,helianthus annuus,hemlock,hickory,ipe,kabukalli,kakaralli,lauan,limonaballi,locust,maple,meraniti,meranti,mora,oak,okoume,parana,parana pine,paric,parica,pine,plantagoo vata,poplar,purpleheart,radiata,radiata pine,radim,red balau,red oak,rubber wood,safflower,sandura,sapgum,seraya,shibadan,shorea spp,soft maple,southern pine,southern yellow,spruce,sunflower,tada,tada pine,taeda,taeda pine,tatabu,tauroniro,teak,tonka bean,uruguayan pine,virola,wallaba,walnut,wamara,wamaradan,washiba,white oak,wrc,yarula,yellow poplar,imports_wood,SHIPPER_COUNTRY
WHITE OAK LUMBER KD,NINGBO V.K.INDUSTRY & TRADING COMPA, ,BRIDGEWELL RESOURCES LLC,2012-12-05 00:00:00,44306,20139,"Prince Rupert, BC","Seattle, Washington",COSCO LONG BEACH,Canada,NO MARKS,"10TH FLOOR, FORTUNE PLAZA, 77 HEYI NINGBO ZJ 315000 CHINA",SUITE 500 10200 SW GREENBURG ROAD TIGARD OR 97223 UNITED STATES,31500,1,CBHU8274123,4500,11,BDL,25,CM,COSU8007111350, , ,0081E,8259638 NO SEAL,LIBERIA, ,COSU,CHINA OCEAN SHIPPING COMPANY,SECAUCUS,NJ,7094,100 LIGHTING WAY,NINGBO V.K.INDUSTRY & TRADING COMPA,"10TH FLOOR, FORTUNE PLAZA, 77 HEYI NINGBO ZJ 315000 CHINA",MEMPHIS,2012,BRIDGEWELL RESOURCES LLC,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,United States
NET WEIGHT 24.040 KGS. 2 X 40 HC S.T.C. 26 PALLET (S) WITH URUGUAYAN PINE K/D BLANKS S2S PCS 10961 MBF 43.363 CBM 102.260 ORDER NR. 697620/697621 TOTAL NET WEIGHT 48710 KGS. TOTAL GROSS WEIGHT 49100 KGS. WOOD PACKING MATERIALS BEING USED ARE FREE OF BARK & APPARENTLY FREE FROMLIVE PLANT PEST NET WEIGHT 24.670 KGS. WOOD,BRIDGEWELL RESOURCES, ,DANK S.A.,2013-12-07 00:00:00,108020,49100,Cristobal,"Houston, Texas",WOGE,Panama,NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS,"10200 SW GREENBURG RD., STE. 500, T TIGARD OR 97223 UNITED STATES",JUAN PAULLIER 1671 MONTEVIDEO 11200 URUGUAY,97223,2,GLDU7631170 MEDU8728443,4510 4510,26,PKG,102,X,MSCUUU140788, , ,343R,UYMVD0006177 UYMVD0006161,CYPRUS, ,MSCU,MSC-MEDITERRANEAN SHIPPING COMPANY S A,GENEVA, ,CH 1206,40 AVENUE EUGENE PITTARD,BRIDGEWELL RESOURCES,"10200 SW GREENBURG RD., STE. 500, T TIGARD OR 97223 UNITED STATES",MONTEVIDEO,2013,DANK S.A.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,Uruguay
PCS 35' GREENHEART PILES (INV# 280),EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,NAZIR TROPICAL TIMBERS,2018-07-31 00:00:00,34788,15813,Haina,"New York, New York",GLUECKSBURG,Dominican Republic,NO MARKS NO MARKS,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,"172 SECTION C BLOCK Y GROVE EAST BANK DEMERARA, GUYANA GUY",11792,1,SMLU7908609, ,23,PCS,0, ,SMLU5325611A, , ,93,484629 G2338273,MALTA, ,SMLU,SEABOARD MARINE LTD,MIAMI,FL,33166,8001 NW 79TH AVE,BRAUNER INTERNATIONAL CORP,66 YORK ST FL 2 JERSEY CITY NJ 07302-3839 USA,GEORGETOWN,2018,NAZIR TROPICAL TIMBERS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Guyana
ROUGH SAWN GREENHEART LUMBER6400 BOARD FEETROUND GREENHEART PILES2140 LINEAL FEET,"WILLIAM G MOORE & SON, INC OF DELAW", ,VARIETY WOODS & GREENHEART LIMITED,2009-11-15 00:00:00,138915,63000,Demerara,"Philadelphia, Pennsylvania",CAPRI,Guyana,PURCHASE ORDER #1162 WGM/1162/P.O.G. WGMI/1162/POG,"218 SCHANCK ROAD PO BOX 6309 FREEHOLD, NJ 07728","99 LALUNI STREET QUEENSTOWN GEORGETOWN, GUYANA",7728,1,NC, ,120,PCS,0, ,SOAIGEOGLO713009, , ,713, ,ANTIGUA AND BARBUDA,00 - Consumption Category,SOAI,SOREIDOM,LE ROBERT, ,97231,Z1 ROBERT,"WILLIAM G MOORE & SON, INC OF DELAW", ,GEORGETOWN,2009,VARIETY WOODS GREENHEART LTD,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Guyana
PIECES AND BUNDLES 447 PCS ROUGH SAWN WASHIBA 10 BUNDLES WALLABA SHINGLES PCS GREENHEART ROUGH SAWN LUMBER,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,NAZIR TROPICAL TIMBERS,2016-10-25 00:00:00,96265,43757,Haina,"New York, New York",CONTI ELEKTRA,Dominican Republic,NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,"172 SECTION C BLOCK Y GROVE EAST BANK DEMERARA, GUYANA GUY",11792,2,SMLU7878818 SMLU7915552, ,642,PCS,0, ,SMLU4636017A, , ,7,CTA364063 G1977255 G1927254 TGT364062,LIBERIA, ,SMLU,SEABOARD MARINE LTD,MIAMI,FL,33166,8001 NW 79TH AVE,BRAUNER INTERNATIONAL CORP,66 YORK ST FL 2 JERSEY CITY NJ 07302-3839 USA,GEORGETOWN,2016,NAZIR TROPICAL TIMBERS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,Guyana
PCS GREENHEART ROUGH SAWN LUMBER (INV# 390) PCS PURPLEHEART & DARINA R SAWN LUMBER (INV# 392) PCS 30FT GREENHEART PILES (INV# 391),EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,NAZIR TROPICAL TIMBERS,2019-06-25 00:00:00,145460,66118,Port Bustamante,"New York, New York",ERATO,Jamaica,NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,"172 SECTION C BLOCK Y GROVE EAST BANK DEMERARA, GUYANA GUY",11792,3,SMLU7879120 SMLU7928631 GLDU7102772, ,411,PCS,0, ,SMLU5682365A, , ,12,501605 G2401467 501604 G2401473 501606 G2401461,LIBERIA, ,SMLU,SEABOARD MARINE LTD,MIAMI,FL,33166,8001 NW 79TH AVE,BRAUNER INTERNATIONAL CORP,66 YORK ST FL 2 JERSEY CITY NJ 07302-3839 USA,GEORGETOWN,2019,NAZIR TROPICAL TIMBERS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Guyana
NET WEIGHT 23.870 KGS 22 PALLET WITH URUGUAYAN PINE K/D BLANKS S2S PCS 7986 MBF 21.318 CBM 50.380 ORDER NR. 635094 WOOD PACKING MATERIALS BEING USED ARE FREE OF BARK & APPARENTLYFREE FROMLIVE PLANT PEST,BRIDGEWELL RESOURCES, ,DANK S.A.,2012-02-11 00:00:00,53240,24200,South Riding Point,"New Orleans, Louisiana",MSC ILONA,Bahamas,NO MARKS SAME SAME SAME SAME,PO BOX 23711 PORTLAND OR 97256 UNITED STATES,JUAN PAULLIER 1671 MONTEVIDEO 11200 URUGUAY,23711,1,MEDU8514420,4510,22,PKG,50,CM,MSCUUU047041, , ,1202A,EU0000137187,GERMANY,00 - Consumption Category,MSCU,MSC-MEDITERRANEAN SHIPPING COMPANY S A,GENEVA, ,CH 1206,40 AVENUE EUGENE PITTARD,BRIDGEWELL RESOURCES, ,MONTEVIDEO,2012,DANK S.A.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,Uruguay
"23,320 KGS NET WEIGHT WOOD 23,420 KGS NET WEIGHT 44 PALLET (S) WITH URUGUAYAN PINE K/D BLANKS S2S PCS 9255 MBF 41.896 CBM 98.840 ORDER NR.:00662022/00666016 'WOOD PACKING MATERIALS BEING USED ARE FREE OF BARK & APPARENTLY FREE FROMLIVE PLANT PEST'",BRIDGEWELL RESOURCES, ,DANK S.A.,2013-01-04 00:00:00,104280,47400,Balboa,"Oakland, California",OCTAVIA,Panama,NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS,"10200 SW GREENBURG RD., STE. 500, T TIGARD OR 97223 UNITED STATES",JUAN PAULLIER 1671 MONTEVIDEO 11200 URUGUAY,97223,2,MSCU8215784 TCLU5470957,4510 4510,44,BOX,98,X,MSCUUU091403, , ,1248A,0147371 0147351,MARSHALL ISLANDS, ,MSCU,MSC-MEDITERRANEAN SHIPPING COMPANY S A,GENEVA, ,CH 1206,40 AVENUE EUGENE PITTARD,BRIDGEWELL RESOURCES,"10200 SW GREENBURG RD., STE. 500, T TIGARD OR 97223 UNITED STATES",MONTEVIDEO,2013,DANK S.A.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,Uruguay
"LAMINATED FLOORING ON 22 PALLETS LS 462555 PO 685980 HS CODE 4411132000 DELIVERY ADDRESS BRIDGEWELL RESOURCES C/O TEXAS STAR WHSE 5200 E GRAND AVE. 75223 DALLAS, TX USA",FR.MEYERS SOHN NORTH AMERICA LLC,FR MEYER'S SOHN NORTH AMERICA LLC,FR.MEYERS SOHN (GMBH & CO.),2013-06-10 00:00:00,35288,16040,Bremerhaven,"Houston, Texas",LISA SCHULTE,Germany,NO MARKS . . . . . . . . . .,"ONE FIRST AVENUE, SUITE 100 19611 WEST READING,PENNSYLVANIA USA PHONE/FAX (610) 396-9550/9501","GRUENER DEICH 19 20097 HAMBURG, GERMANY AS AGENT OF FMS SEAWAYS - OPFIKON - CH",19611,1,TGHU1213348,2210,22,PCS,0, ,HLCUHAM130543750,M, ,02W20,2554199 KL2554199,CYPRUS, ,HLCU,HAPAG LLOYD A G,HAMBURG, , ,399 HOES LN,FR.MEYERS SOHN NORTH AMERICA LLCJOHN A. STEER CO.,"28 SOUTH 2ND STREET PHILADELPHIA, PA 19106 UNITED STATES","BREMERHAVEN, DE",2013,FR. MEYERS SOHN (GMBH & CO.),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Germany
ROUND GREENHEART PILES 770 LINEAL FEET F REIGHT COLLECT ALL LOCAL CHARGES AT DESTI NATION FOR CONSIGNEE'S ACCOUNT SAID TO BE SAID TO WEIGH,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,VARIETY WOODS & GREENHEART LIMITED,2015-11-08 00:00:00,19440,8836,Port Bustamante,"New York/Newark Area, Newark, New Jersey",AENEAS,Jamaica,WGM/8446/PINK ENDS,"OF DELAWARE 218 SCHANCK ROAD, PO BO X 6309 FREEHOLD NEW JERSEY 07728 US A TEL:732-303-6049 FAX:732-303-607",99 LALUNI STREET QUEENSTOWN GEORGET OWN GUYANA,7728,1,DFSU6298299,4500,22,PCS,0,CF,ZIMUGTG09141, , ,3W,CTA318902ZZCK99526,LIBERIA, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN,2015,VARIETY WOODS GREENHEART LTD,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Guyana
