SHIPPER_CLEANED,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Andrade & Martins Ltda,,,,,,,12421.0,84933.125,68710.0,26878.666666666668,,,,,
BR Timber Indústria e Comércio Ltda,,,,,,,33771.666666666664,,,,,,,,
BULKAN TIMBER WORKS INC,30048.0,,,,,,,,,,,,,,
Barama Company Limited,,,11991.0,12155.0,,,,,,,,,,,
COMPENSADOS DRABECKI LTDA,,,,,,,,27927.0,,,,,,,
COMPENSADOS RELVAPLAC LTDA,,,,,,,104700.0,82500.0,,,,,,,
Celplac Indústria e Comércio Ltda,,,,,,,,55033.333333333336,,,,,,,
Compensados NM Ltda,,,,,,,81660.0,62951.166666666664,97809.36363636363,,,,,,
Cummings Wood Products,,,,,,,,,,,,,22046.0,21284.5,26956.0
Deoraj Singh Sawmill,,,,,,,,,,,,,,136788.0,201869.0
Doodnauth Naipaul,,,,39376.333333333336,22752.333333333332,,,,,,,,,,
Durable Wood Products Enterprises,20162.0,17036.5,,,,,,,,,,,,,
EMERALD FOREST INC,24621.0,,,,,,,,,,,,,,
Evergreen Forest Products,,10364.0,,,,,,,,,52691.53333333333,90638.81481481482,75951.66666666667,135283.5,
Forest Woods Inc.,,,,,,,,,,105450.66666666667,108131.8,,,,
G Mahase & Mahase Lumber Supplier,,,,,11682.0,,,,,,,,,,
G13 Madeiras Ltda,,,,,,,25450.0,,,,,,,,
GREEN LINE PRODUCTS ENTERPRISE INC,,,,,,,,,,,,33778.25,49532.142857142855,,
Ganshyam Mahase,,,,,,,,,,,66106.0,,,,
Ganshyam Mahase Sawmill and Lumber,,,,,,,,,,,48550.0,,,,
Green Line Products Enterprise Inc.,,,,,,,,,,,,,28461.333333333332,,
Green Link International Corp,,,51840.0,,,,,,,,,,,,
Guyana Furniture Manufacturing Ltd.,,25559.5,10704.5,11114.333333333334,,,,,,,,,,,
Guylog,,,,,18401.545454545456,,,,,,,,,,
Hebei Shuowei Machinery Equipment Co.,,,,,,,,,,,,,,15000.0,
Indústria de Compensados Sudati Ltda,,,,,,,,131386.0,,,,,,,
Ituni Small Loggers Association,,,,,7868.0,,,,,,,,,,
LINYI JIAHE WOOD INDUSTRY COLTD,,,25760.0,,,,,,,,,,,,
Linyi Baideli International Trade,,,142560.0,,,,,,,,,,,,
MALLALI AMERINDIAN VILLAGE COUNCIL,,,,,,,,14560.0,,,,,,,
Madeireira Rio Claro Ltda,,,,,,,,51876.0,20502.0,,,,,,
Marini Indústria de Compensados Ltda,,,,,,,,24594.0,86079.0,78786.66666666667,,,,,
Nazir Tropical Timbers,,,,,21838.272727272728,71522.14583333333,44466.75555555556,53030.12195121951,87334.88095238095,63162.09090909091,,,,,
PLACA COM DE MAD E COMPLTDA,,,,,,,26149.0,,,,,,,,
Paradise Woods,,,50000.0,123957.33333333333,,,,,,,,,,,
Pinustan Indústria e Comércio de Madeiras,,,,,,,,77900.0,,,,,,,
Prestige Timbers Inc,,,,,,,,,,,,,,25600.0,
Puruni Wood Products Inc,,,10682.0,,,,,,,,,,,,
R & H Jaisingh,,18640.3,15719.583333333334,13730.166666666666,,,,,,,,,,,
RANDA IND E COM PORTAS E,,,,,,,,,,143735.0,,,,,
RANDA IND E COM PORTAS E COM,,,,,,,,,,136382.0,,,,,
RANDA INDE COMPORTAS ECOMPENSADOS,,,,,,,,,,131250.0,,,,,
Randa Indústria e Comércio de Portas,,,,,,,,,,149133.33333333334,,,,,
Rondônia Rural Agroindustrial Ltda,,,,,,,13626.0,25452.0,25251.0,,,,,,
S & K Lumber Enterprise,,,,,,20112.0,,,,,,,,,
SUSTAINABLE FOREST PRODUCTS INC,,,,12537.5,,,,,,,,,,,
Shandong Huaxin Jiasheng Wood,,,106036.0,23564.0,,,,,,,,,,,
Southern Timber Exports,,,,,,,,,,,,,42242.92307692308,54914.88888888889,71406.5294117647
Superior Woods,19772.25,,,20041.0,,23329.0,,,,,,,22577.0,22283.8,
TULSA SA,,,,,,,,25200.0,,,,,,,
Toolsie Persaud Limited/Interior Forest Industries,21812.6,19288.466666666667,,,,,,,,,,,,,
Trade-Linc,,22394.5,50886.45,56731.95238095238,12621.666666666666,,,,,,15649.0,,,,
Upper Berbice Forest,,10742.0,,,,,,,,,,,,,
Vale Norte Industrial Mercantil,,,,,,,,80400.0,,,,,,,
Variety Woods & Greenheart,,,30713.666666666668,42233.666666666664,,,,,,27442.615384615383,,20623.0,25297.875,30348.785714285714,28317.5
WEYERHAEUSER PRODUCTOS SA,,,30336.0,,,,,,,,,,,,
WEYERHAEUSER URUGUAY SA,,,124570.0,,,,,,,,,,,,
WINWIN WOODS INTERNATIONAL CORP,,,,23990.0,,,,,,,,,,,
Widevelop Int Ltd,,26000.0,,,,,,,,,,,,,
