PRODUCT DESCRIPTION,IMPORTER,IMPORTER ENTITY,SHIPPER,ARRIVAL DATE,GROSS WEIGHT (LB),GROSS WEIGHT (KG),FOREIGN PORT,US PORT,VESSEL NAME,COUNTRY OF ORIGIN,MARKS &AMP; NUMBERS,CONSIGNEE ADDRESS,SHIPPER ADDRESS,ZIP CODE,NO. OF CONTAINERS,CONTAINER NUMBER,CONTAINER TYPE,QUANTITY,QUANTITY UNIT,MEASUREMENT,MEASUREMENT UNIT,BILL OF LADING,HOUSE VS MASTER,MASTER B/L,VOYAGE NUMBER,SEAL,SHIP REGISTERED IN,IN-BOND ENTRY TYPE,CARRIER CODE,CARRIER NAME,CARRIER CITY,CARRIER STATE,CARRIER ZIP,CARRIER ADDRESS,NOTIFY PARTY,NOTIFY ADDRESS,PLACE OF RECEIPT
SHINGLES BREAKDOWN TAPER SAWN WALLABA SHINGLES 90 SQUARES / 450 BUNDLES TAPER SAWN WALLABA HIP & RIDGE 525 LF / 42 BUNDLES,"BASILICATO NORTH AMERICA, LLC",BASILICATO NORTH AMERICA LLC,PRESTIGE TIMBERS INC.,06/04/2025,51480,23400,Point Lisas,"West Palm Beach, Florida",TROPIC LISSETTE,Trinidad,TTRU2654976,1001 S MYRTLE AVE SUITE 1 CLEARWATER FL 33756 US,32 WINDSOR ESTATE PETER'S HALL EAST BANK DEMERARA GY,33756,1,TTRU2654976,22G1,1,PCS,0, ,TSCW17861555, , ,177,1189677 1189678,SAINT VINCENT AND THE GRENADINES, ,TSCW,TROPICAL SHIPPING & CONSTRUCTION CO,WEST PALM BEACH,FL,33404-6920,5 EAST 11TH STREET,-NOT AVAILABLE-,-NOT AVAILABLE-,31200
SHINGLES BREAKDOWN 450 BUNDLES TAPER SAWN WALLABA SHINGLES 90 SQUARES 42 BUNDLES TAPER SAWN WALLABA HIP & RIDGE 525LF,"BASILICATO NORTH AMERICA, LLC",BASILICATO NORTH AMERICA LLC,PRESTIGE TIMBERS INC.,05/14/2025,51480,23400,Point Lisas,"West Palm Beach, Florida",TROPIC JEWEL,Trinidad,BSIU2939612,1001 S MYRTLE AVE SUITE 1 CLEARWATER FL 33756 US,32 WINDSOR ESTATE PETER'S HALL EAST BANK DEMERARA GY,33756,1,BSIU2939612,22G1,1,PCS,0, ,TSCW17823199, , ,155,1188901 1188902,SAINT VINCENT AND THE GRENADINES, ,TSCW,TROPICAL SHIPPING & CONSTRUCTION CO,WEST PALM BEACH,FL,33404-6920,5 EAST 11TH STREET,-NOT AVAILABLE-,-NOT AVAILABLE-,31200
SHINGLES BREAKDOWN TAPER SAWN WALLABA SHINGLES 450 BUNDLES / 90 SQUARES TAPER SAWN WALLABA HIP & RIDGE 42 BUNDLES /525LF,"BASILICATO NORTH AMERICA, LLC",BASILICATO NORTH AMERICA LLC,PRESTIGE TIMBERS INC.,03/19/2025,51502,23410,Point Lisas,"West Palm Beach, Florida",TROPIC JEWEL,Trinidad,BSIU3274276,1001 S MYRTLE AVE SUITE 1 CLEARWATER FL 33756 US,32 WINDSOR ESTATE PETER'S HALL EAST BANK DEMERARA GY,33756,1,BSIU3274276,22G1,492,PCS,0, ,TSCW17693858, , ,151,1188749 1188750,SAINT VINCENT AND THE GRENADINES, ,TSCW,TROPICAL SHIPPING & CONSTRUCTION CO,WEST PALM BEACH,FL,33404-6920,5 EAST 11TH STREET,-NOT AVAILABLE-,-NOT AVAILABLE-,31200
BUNDLES TAPER-SAWN WALLABA SHINGLES,BASILICATO CORPORATION,BASILICATO NORTH AMERICA LLC,PRESTIGE TIMBERS INC,02/24/2025,51588,23449,Port Bustamante,"Chester, Pennsylvania",SEABOARD VICTORY,Jamaica,NO MARKS NO MARKS,1001 S MYRTLE AVE STE 1 CLEARWATER FL 33756 USA,"32 WINDSOR ESTATE PETER S HALL EAST BANK DEMERARA, GUYANA GUY",33756,1,SMLU3110924,2210,540,BDL,0, ,SMLU8431927A, , ,4,1880872 193733,LIBERIA, ,SMLU,SEABOARD MARINE LTD,MIAMI,FL,33166,8001 NW 79TH AVE,BASILICATO CORPORATION,1001 S MYRTLE AVE STE 1 CLEARWATER FL 33756 USA,GEORGETOWN
SHINGLES AND RIDGE CAPS BREAKDOWN TAPER SAWN WALLABA SHINGLES 25 SQUARES/125 BUNDLES TAPER SAWN WALLABA SHINGLES 540075 SQUARES/525 BUNDLES RIDGE CAPS - 16 BUNDLES/200 LF,CUSTOM SHINGLES,CUSTOM SHINGLES,PRESTIGE TIMBERS INC.,11/20/2024,51845,23566,Point Lisas,"West Palm Beach, Florida",TROPIC ISLAND,Trinidad,BSIU3274276,186 SW RING COURT LAKE CITY FL 32025 US,32 WINDSOR ESTATE PETER'S HALL EAST BANK DEMERARA GY,32025,1,BSIU3274276,22G1,666,PCS,0, ,TSCW17413769, , ,154,1187935 1187936,SAINT VINCENT AND THE GRENADINES, ,TSCW,TROPICAL SHIPPING & CONSTRUCTION CO,WEST PALM BEACH,FL,33404-6920,5 EAST 11TH STREET,-NOT AVAILABLE-,-NOT AVAILABLE-,31200
TAPER SAWN WALLABA SHINGLES 108 SQUARES,PREMIER IMPORTERS LTD,PREMIER IMPORTERS LTD,PRESTIGE TIMBERS INC.,10/11/2024,28340,12882,Point Lisas,"West Palm Beach, Florida",TROPIC ISLAND,Trinidad,TTRU2655308,EAST ST POBX N 1085 NASSAU BS,32 WINDSOR ESTATE PETER'S HALL EAST BANK DEMERARA GY, ,1,TTRU2655308,22G1,540,PCS,0, ,TSCW17304117, , ,151,SEAL INTACT,SAINT VINCENT AND THE GRENADINES,63 - Immediate Exportation,TSCW,TROPICAL SHIPPING & CONSTRUCTION CO,WEST PALM BEACH,FL,33404-6920,5 EAST 11TH STREET,-NOT AVAILABLE-,-NOT AVAILABLE-,31200
FREIGHT COLLECT WALLABA SHINGLES - 108 SQUARES/540 BUNDLES (EPERUA FALCATA),SAS XD,SAS XD,PRESTIGE TIMBERS INC,09/02/2024,56320,25600,Port of Spain,"San Juan, Puerto Rico",JANINA,Trinidad,NO MARKS,"SAINT JEAN ST. BARTHELEMY, 97133 FRENCH WEST INDIES",LOT 32 WINDSOR ESTATES PETER'S HALL EAST BANK DEMERARA TE GUYANA,97133,1,TEMU2447781,2200,1,BDL,0,CM,CMDUCUY0112909, , ,0HN6J,C7686729,ANTIGUA AND BARBUDA, ,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,BASILICATO CORPORATION,1001 S. MYRTLE AVE - SUITE 1 CLEARWATER FL 33756 USA,"GEORGETOWN, GY"
FREIGHT COLLECT TAPER-SAWN WALLABA SHINGLES,COMPTOIR COMMERCIAL DES ANTILLES PE, ,PRESTIGE TIMBERS INC,09/02/2024,56276,25580,Port of Spain,"San Juan, Puerto Rico",JANINA,Trinidad,NO MARKS,78 A ROUTE DE LA SAVANE IMPASSE FOND D'OR SAINT MARTIN,LOT 32 WINDSOR ESTATES PETER'S HALL EAST BANK DEMERARA TE GUYANA, ,1,TRHU1423449,2200,540,BDL,0,CM,CMDUCUY0112669, , ,0HN6J,C7686760,ANTIGUA AND BARBUDA, ,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,COMPTOIR COMMERCIAL DES ANTILLES PE,78 A ROUTE DE LA SAVANE IMPASSE FOND D'OR SAINT MARTIN,"GEORGETOWN, GY"
WALLABA SHINGLES & HIP & RIDGE BREAKDOWN TAPER SAWN WALLABA SHINGLES 100 SQUARES / 500 BUNDLES HIP & RIDGE 525 LFS / 42 BUNDLES,PRIMER IMPORTERS LTD,PRIME IMPORTERS CORP,PRESTIGE TIMBERS INC.,08/14/2024,51845,23566,Point Lisas,"West Palm Beach, Florida",TROPIC ISLAND,Trinidad,BSIU3142011,EAST ST POB X N1085 NASSAU BS,32 WINDSOR ESTATE PETER'S HALL EAST BANK DEMERARA GY, ,1,BSIU3142011,22G1,542,PCS,0, ,TSCW17200670, , ,147,1152793 1152794,SAINT VINCENT AND THE GRENADINES,63 - Immediate Exportation,TSCW,TROPICAL SHIPPING & CONSTRUCTION CO,WEST PALM BEACH,FL,33404-6920,5 EAST 11TH STREET,-NOT AVAILABLE-,-NOT AVAILABLE-,31200
"SHINGLES AND RIDGE CAPS BREAKDOWN TAPER SAWN WALLABA SHINGLES 500 BUNDLES / 100 SQUARES TAPER SAWN WALLABA SHINGLES 49 BUNDLES / 5.047 SQUARES RIDGE CAPS, 13 BUNDLES",CUSTOM SHINGLES,CUSTOM SHINGLES,PRESTIGE TIMBERS INC.,07/31/2024,51845,23566,Point Lisas,"West Palm Beach, Florida",TROPIC ISLAND,Trinidad,BSIU2943530,186 SW RING COURT LAKE CITY FL 32025 US,32 WINDSOR ESTATE PETER'S HALL EAST BANK DEMERARA GY,32025,1,BSIU2943530,22G1,562,PCS,0, ,TSCW17166555, , ,146,1153333 1153334,SAINT VINCENT AND THE GRENADINES, ,TSCW,TROPICAL SHIPPING & CONSTRUCTION CO,WEST PALM BEACH,FL,33404-6920,5 EAST 11TH STREET,-NOT AVAILABLE-,-NOT AVAILABLE-,31200
