PRODUCT DESCRIPTION,IMPORTER,IMPORTER ENTITY,SHIPPER,ARRIVAL DATE,GROSS WEIGHT (LB),GROSS WEIGHT (KG),FOREIGN PORT,US PORT,VESSEL NAME,COUNTRY OF ORIGIN,MARKS &AMP; NUMBERS,CONSIGNEE ADDRESS,SHIPPER ADDRESS,ZIP CODE,NO. OF CONTAINERS,CONTAINER NUMBER,CONTAINER TYPE,QUANTITY,QUANTITY UNIT,MEASUREMENT,MEASUREMENT UNIT,BILL OF LADING,HOUSE VS MASTER,MASTER B/L,VOYAGE NUMBER,SEAL,SHIP REGISTERED IN,IN-BOND ENTRY TYPE,CARRIER CODE,CARRIER NAME,CARRIER CITY,CARRIER STATE,CARRIER ZIP,CARRIER ADDRESS,NOTIFY PARTY,NOTIFY ADDRESS,PLACE OF RECEIPT,IMPORTER_CLEANED,YEAR,SHIPPER_CLEANED
PLYWOOD(POPLAR CORE)PLYWOOD(POPLAR CORE)PLYWOODWHITE BIRCH FACE AND BACKPOPLAR CORE,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,"JIAXING GSUN IMP. & EXP. CO.,LTD.",08/21/2012,114400,52000,Ching Tao,"New York/Newark Area, Newark, New Jersey",EVER RADIANT,China,650820 650820 650820 650822 THE SAME,10200 SW GREENBURG RD SUITE 500 TIGARD OREGON 97223 U.S.A. TEL:503.872.3566,ROOM 507 OFFICE BUILDING NO.534 HONGXING ROAD JIAXING ZHEJIANG CHINA,97223,2,BSIU9038447 GESU6077540,45G0 45G0,36,CRT,102,CM,EGLV140200534110, , ,0546E,EMCEFL3701 EMCDBL9781,PANAMA,00 - Consumption Category,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338, , ,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,BRIDGEWELL RESOURCES LLCRICHARD MURRAY, ,"QINGDAO, CHINA",Bridgewell Resources,2012,"JIAXING LAYO IMP.&EXP.GROUP CO.,LTD"
"LAMINATED FLOORING ON 21 PALLETS LS; 456715 PO; 684546 LAMINATED FLOORING ON 22 PALLETS LS; 456704 PO; 684544 LAMINATED FLOORING ON 22 PALLETS LS; 456624 PO; 684542 LAMINATED FLOORING ON 22 PALLETS LS; 456594 PO; 684541 LAMINATED FLOORING ON 22 PALLETS LS; 456730 PO; 684547 LAMINATED FLOORING ON 22 PALLETS LS; 456682 PO; 684543 LAMINATED FLOORING ON 22 PALLETS LS; 456707 PO; 684545 LAMINATED FLOORING ON 20 PALLETS LS; 457010 PO; 684548 HS CODE 4411132000 DELIVERY ADDRESS; BRIDGEWELL RESOURCES C/O PANEL SERVICES 101 BAILEY ST. 27028 MOCKSVILLE, NC USA",BRIDGEWELL RESOURCES, ,KRONOFLOORING GMBH,05/08/2013,269852,122660,Bremerhaven,"Charleston, South Carolina",PHILADELPHIA EXPRESS,Germany,NO MARKS . . . NO MARKS . . . NO MARKS . . . NO MARKS . . . NO MARKS . . . NO MARKS . . . NO MARKS . . . NO MARKS . . . . . . . . . .,"C/O PANEL SERVICES 101 BAILEY ST. 27028 MOCKSVILLE, NC / USA PHONE;+ 1 336 751 7300",MUEHLBACHER STRASSE 1 01561 LAMPERTSWALDE GERMANY,27028,8,TRLU8862246 HLXU3157016 GESU2959025 UESU2181333 FCIU2497010 TRLU3953997 FCIU4197583 FCIU2033718,2200 2210 2210 2210 2200 2200 2210 2210,169,PKG,0, ,FMSW1130490173,H,HLCUHAM130416400,03W17,KL2554005 KL2553987 KL2553984 KL2553977 KL2554009 KL2553979 KL2554001 KL2362851,UNITED STATES, ,FMSW,FMS SEAWAYS AG,OPFIKON ZURICH, , ,SAGEREISTRASSE 24 POSTFACH 8152 GLATTBRUGG,BRIDGEWELL RESOURCESJOHN A. STEER CO.,"28 SOUTH 2ND STREET PHILADELPHIA, PA 19106 UNITED STATES",HAMBURG,Bridgewell Resources,2013,KRONOFLOORING GMBH
HDF FACED PANEL MR GLUE SIZE 2440 X 1220 MM FREIGHT COLLECT NCM: 44129441,"EVERGREEN FOREST PRODUCTS, INC",EVERGREEN FOREST PRODUCTS INC,ANDRADE AND MARTINS LTDA,2017-08-13 00:00:00,27326,12421,Navagantes,"New York/Newark Area, Newark, New Jersey",MSC MAUREEN,Brazil,NO MARKS NO MARKS,578 SOUND AVENUE WADING RIVER NY 11792 US,ROD. BR 277 KM 540 IBEMA 85478000 BR,11792,1,SLSU8000076,45G0,9,PKG,0, ,AWSLAWSL149199,H,MSCUJ7361577,728R,MSCEU11603006,PANAMA, ,AWSL,ALL WORLD SHIPPING CORP,TAMPA,FL,33609-1065,550 NORTH REO STREET,MSCU,MSCU,NAVEGANTES,Evergreen Forest Products,2017,ANDRADE & MARTINS LTDA
SHIPPER'S LOAD STOW COUNT AS PER SHIPPER'S ADVICE: L AMEX REF: 53908 HARMONIZED CODE: 08119095 TEMPERATUR E SET POINT: (MINUS) -20 C ELSIUS -FREIGHT PREPAID PA CKING 110 KG NET-IQF DICE D PEACHES 10 MM,BRIDGEWELL RESOURCES, ,ALTERRA SA,11/21/2014,43560,19800,Valencia,"Seattle, Washington",MSC NERISSA,Spain,NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS,"12420 SE CARPENTER DRIVE CLACKAMAS, CLACKAMAS OR 97015 UNITED STATES",3RD KM GIANNITSA-EDESSA GIANNITSA 59 58100 GREECE,97015,1,CRLU1281520,4532,1880,CTN,0, ,MSCUT1848898, , ,441S,1685612 EU0004164994,PANAMA, ,MSCU,MSC-MEDITERRANEAN SHIPPING COMPANY S A,GENEVA, ,CH 1206,40 AVENUE EUGENE PITTARD,TOTAL LOGISTICS RESOURCES,5362 NE 112TH AVE. PORTLAND OR 9722 PORTLAND OR 97220 UNITED STATES,THESSALONIKI,Bridgewell Resources,2014,ALTERRA SA
NET WEIGHT 23.870 KGS 22 PALLET WITH URUGUAYAN PINE K/D BLANKS S2S PCS 7986 MBF 21.318 CBM 50.380 ORDER NR. 623158 WOOD PACKING MATERIALS BEING USED ARE FREE OF BARK & APPARENTLYFREE FROMLIVE PLANT PEST,BRIDGEWELL RESOURCES, ,DANK S.A.,07/22/2011,53240,24200,South Riding Point,"New Orleans, Louisiana",MSC LORETTA,Bahamas,NO MARKS SAME SAME SAME SAME,PO BOX 23711 PORTLAND OR 97256 UNITED STATES,JUAN PAULLIER 1671 MONTEVIDEO 11200 URUGUAY,23711,1,MSCU9911766,4510,22,PKG,50,CM,MSCUUU020162, , ,020A,8384264,PANAMA,00 - Consumption Category,MSCU,MSC-MEDITERRANEAN SHIPPING COMPANY S A,GENEVA, ,CH 1206,40 AVENUE EUGENE PITTARD,BRIDGEWELL RESOURCES, ,MONTEVIDEO,Bridgewell Resources,2011,DANK S.A.
PCS GREENHEART LUMBER (INV# 321) PCS GREENHEART LUMBER (INV# 319) PCS GREENHEART LUMBER (INV# 320),EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,NAZIR TROPICAL TIMBERS,2018-12-04 00:00:00,153838,69926,Port Bustamante,"New York, New York",EMS TRADER,Jamaica,NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,"172 SECTION C BLOCK Y GROVE EAST BANK DEMERARA, GUYANA GUY",11792,3,SMLU7956741 GLDU7382483 GESU5501036, ,473,PCS,0, ,SMLU5467960A, , ,61,471693 G2338666 471694 G2338661 471695 G2338659,PORTUGAL, ,SMLU,SEABOARD MARINE LTD,MIAMI,FL,33166,8001 NW 79TH AVE,BRAUNER INTERNATIONAL CORP,66 YORK ST FL 2 JERSEY CITY NJ 07302-3839 USA,GEORGETOWN,Evergreen Forest Products,2018,NAZIR TROPICAL TIMBERS
"ROUND GREENHEART PILES, ROUGH SAWN GREENHEARTLUMBER","WOODS DIRECT INTERNATIONAL, LLC",WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT,2017-06-28 00:00:00,374950,170432,Demerara,"New London, Connecticut",MCP PACHNA,Guyana,NM,"16877 EAST COLONIAL DRIVE # 305, ORLANDO, FLORIDA 32820 U.S.A",48 COVENT GARDEN EAST BANK DEMERARA GUYANA,32820,1,NC, ,200,PCS,0, ,SOAI306GTWNWL001, , ,30617, ,CYPRUS, ,SOAI,SOREIDOM,LE ROBERT, ,97231,Z1 ROBERT,B.N.A.,"1001 S. MYRTLE AVENUE # 1, CLEARWATER, FLORIDA 33756 U.S.A",GEORGETOWN GUYANA,Woods Direct International,2017,WOODS DIRECT INC
PINE FJ EG PANELS,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,RODOLFO KIRSCHNER & CIA. LTDA,06/26/2015,48347,21976,Navagantes,"Baltimore, Maryland",PORTUGAL,Brazil,RODOLFOKIRSCHNERBRASILPO 00738546 BALTIMORE,10200 SW GREENBURG RD TIGARD OR 97223 US,"RUA LEOPOLDO KOPROWSKI , 949 ALTO BENEDITO NOVO BENEDITO NOVO 89124000 BR",97223,1,MSCU7124680,4510,27,BDL,45,X,FTNVIJS000007636,H,MSCUJ3993878,522R,MSCFEJ5400831,LIBERIA, ,FTNV,FEDEX TRADE NETWORKS TRANSPORT & BROKERAGE INC,BUFFALO,NY,14207,128 DEARBORN STREET,-NOT AVAILABLE-, ,BR,Bridgewell Resources,2015,RODOLFO KIRSCHNER & CIA. LTDA
PCS STB 45 PCS GREENHEART 35 PCS WAMARADAN LUMBER EFP INVOICE 173 PCS WAMARADAN LUMBER EFP INVOICE 176 PCS WAMARADAN LUMBER EFP INVOICE 176 PCS STB 522 PCS KABUKALLI 91 PCS GREENHEART LUMBER EFP INVOICE 174 PCS STB 32 PCS KABUKALLI 1 PC TATABU 2 PCS GREENHEART LUMBER EFP INVOICE 172 PCS STB 9 PCS GREENHEART 26 PCS WAMARADAN LUMBER EFP INVOICE 172,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC.,2022-10-18 00:00:00,293501,133410,Port Bustamante,"New York, New York",AS PAULINE,Jamaica,NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,67 SECTION A BLOCK X GREAT DIAMOND EAST DEMERARA GUYANA GUY,11792,6,SMLU7830579 SMLU7912701 SMLU7919373 SMLU7915001 SMLU7936010 FCIU8594320,4510 4510 4510 4510 4510 4510,816,PCS,0, ,SMLU7347554A, , ,34,597919 G3112566 597946 G3112573 597945 G3112572 597929 G3112553 597937 G3112551 597954 G3112552,LIBERIA, ,SMLU,SEABOARD MARINE LTD,MIAMI,FL,33166,8001 NW 79TH AVE,BRAUNER INT'L GROUP,146-35 167TH ST STE 202 JAMAICA NY 11434 USA,GEORGETOWN,Evergreen Forest Products,2022,EVERGREEN FOREST PRODUCTS INC
STERILIZED CLEAN NIGER SEED ONLY FOR BIRD FEED AND NOT FOR HUMAN CONSUMPTIONSTERILIZED CLEAN NIGER SEED ONLY FOR BIRD FEED AND NOT FOR HUMAN CONSUMPTIONSTERILIZED CLEAN NIGER SEED ONLY FOR BIRD FEED AND NOT FOR HUMAN CONSUMPTION,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,SHAH NANJI NAGSI EXPORTS PVT LTD,03/14/2011,168907,76776,Colombo,"New York, New York",PRESIDENT JACKSON,Sri Lanka,NO MARKS NO MARKS NO MARKS,"12420 SE CARPENTER DRIVE, FOOD & AG PRODUCTS DIVISION CLACKAMAS OR 97015 USA","ANAJ BAZAR, ITWARI NAGPUR 440 002 INDIA",97015,3,TRLU6387975 CLHU4411531 APZU4803885, ,741,BAG,0, ,SWLVSWLNHS0205F1,H,APLU054448921,218,123990 122846 123944,UNITED STATES,00 - Consumption Category,SWLV,SAFEWATER LINES (INDIA) PRIVATE LIMITED,MUMBAI, ,400001,195 4TH FL SAHEB BLDG D N RD FORT,TOTAL LOGISTICS RESOURCES, ,"NAGPUR, INDIA",Bridgewell Resources,2011,SHAH NANJI NAGSI EXPORTS PVT.LTD.
