Value,Pixel count,Area (deg2)
0,1723113,0.1076945625
3,87226,0.005451625
4,122519,0.0076574375
5,301924,0.01887025
6,232080,0.014505
7,206965,0.0129353125
8,159267,0.0099541875
9,150173,0.0093858125
10,130756,0.00817225
11,138352,0.008647
12,159561,0.0099725625
13,161758,0.010109875
14,175089,0.0109430625
15,226628,0.01416425
16,262001,0.0163750625
17,347187,0.0216991875
18,453817,0.0283635625
19,551093,0.0344433125
20,753483,0.0470926875
21,980817,0.0613010625
22,1220936,0.0763085
23,1720286,0.107517875
24,2211238,0.138202375
25,2886523,0.1804076875
26,3580360,0.2237725
27,4883417,0.3052135625
28,6379503,0.3987189375
29,7376076,0.46100475
30,9210003,0.5756251875
31,9388643,0.5867901875
32,11004255,0.6877659375
33,5358923,0.3349326875
34,913095,0.0570684375
35,88860,0.00555375
36,3047,0.0001904375
37,73,4.56E-06
38,12,7.50E-07
39,1,6.25E-08
