Value,Pixel count,Area (deg2)
0,67716,0.00423225
3,6213,0.0003883125
4,6551,0.0004094375
5,12679,0.0007924375
6,9786,0.000611625
7,10959,0.0006849375
8,8853,0.0005533125
9,8959,0.0005599375
10,7597,0.0004748125
11,9310,0.000581875
12,10428,0.00065175
13,9596,0.00059975
14,10232,0.0006395
15,13776,0.000861
16,14750,0.000921875
17,20702,0.001293875
18,23217,0.0014510625
19,27353,0.0017095625
20,33866,0.002116625
21,45234,0.002827125
22,60700,0.00379375
23,92908,0.00580675
24,151849,0.0094905625
25,208461,0.0130288125
26,287793,0.0179870625
27,437816,0.0273635
28,552435,0.0345271875
29,561287,0.0350804375
30,679762,0.042485125
31,758907,0.0474316875
32,933787,0.0583616875
33,632015,0.0395009375
34,100725,0.0062953125
35,7843,0.0004901875
36,64,4.00E-06
37,1,6.25E-08
