Value,Pixel count,Area (deg2)
0,2383412,0.14896325
3,207465,0.0129665625
4,566999,0.0354374375
5,945580,0.05909875
6,757703,0.0473564375
7,1101914,0.068869625
8,1415594,0.088474625
9,1490900,0.09318125
10,1286816,0.080426
11,683116,0.04269475
12,482611,0.0301631875
13,371542,0.023221375
14,317159,0.0198224375
15,305657,0.0191035625
16,333645,0.0208528125
17,356046,0.022252875
18,384221,0.0240138125
19,482844,0.03017775
20,587780,0.03673625
21,785495,0.0490934375
22,1064225,0.0665140625
23,1539730,0.096233125
24,2355841,0.1472400625
25,3497652,0.21860325
26,5063021,0.3164388125
27,7874950,0.492184375
28,11709939,0.7318711875
29,14355726,0.897232875
30,17196558,1.074784875
31,18094852,1.13092825
32,12213495,0.7633434375
33,7090208,0.443138
34,2194802,0.137175125
35,772752,0.048297
36,266735,0.0166709375
37,91809,0.0057380625
38,29820,0.00186375
39,5198,0.000324875
40,1138,7.11E-05
41,51,3.19E-06
