Value,Pixel count,Area (deg2)
0,15077,0.0009423125
3,488,3.05E-05
4,594,3.71E-05
5,868,5.43E-05
6,990,6.19E-05
7,950,5.94E-05
8,1011,6.32E-05
9,940,5.88E-05
10,2479,0.0001549375
11,3236,0.00020225
12,4214,0.000263375
13,4579,0.0002861875
14,6190,0.000386875
15,8487,0.0005304375
16,11025,0.0006890625
17,14575,0.0009109375
18,15644,0.00097775
19,21901,0.0013688125
20,32936,0.0020585
21,40949,0.0025593125
22,54322,0.003395125
23,85117,0.0053198125
24,135013,0.0084383125
25,223218,0.013951125
26,246395,0.0153996875
27,461571,0.0288481875
28,665594,0.041599625
29,668781,0.0417988125
30,699503,0.0437189375
31,578624,0.036164
32,401444,0.02509025
33,279528,0.0174705
34,115955,0.0072471875
35,62724,0.00392025
36,28064,0.001754
37,11158,0.000697375
38,1869,0.0001168125
39,255,1.59E-05
40,33,2.06E-06
