Value,Pixels_2000,Area_2000,Pixels_pct_2000,Pixels_2020,Area_2020,Pixels_pct_2020,Pixel_difference,pct_difference
0,2383412,0.14896325,0.032405743866746904,2644983,0.1653114375,0.0359621591356844,261571,0.0035564152689374975
3,207465,0.0129665625,0.0028207702450581966,451498,0.028218625,0.006138732432474324,244033,0.003317962187416127
4,566999,0.0354374375,0.007709126398080411,373212,0.02332575,0.005074327258567274,-193787,-0.0026347991395131365
5,945580,0.05909875,0.012856452550175352,582191,0.0363869375,0.007915682403010996,-363389,-0.004940770147164356
6,757703,0.0473564375,0.010302007938646666,646191,0.0403869375,0.008785849880338375,-111512,-0.0015161580583082906
7,1101914,0.068869625,0.01498202696268314,859689,0.0537305625,0.011688647006501511,-242225,-0.0032933799561816295
8,1415594,0.088474625,0.019246935310933952,1117516,0.06984475,0.015194157478015355,-298078,-0.004052777832918597
9,1490900,0.09318125,0.020270823311677948,1422068,0.08887925,0.019334958189812353,-68832,-0.000935865121865595
10,1286816,0.080426,0.017496022382882937,1610990,0.100686875,0.021903611004681772,324174,0.004407588621798835
11,683116,0.04269475,0.009287895725655772,1087078,0.067942375,0.014780311264345187,403962,0.005492415538689415
12,482611,0.0301631875,0.006561756193756929,789042,0.049315125,0.010728104478833584,306431,0.004166348285076655
13,371542,0.023221375,0.005051621325955763,556160,0.03476,0.0075617553779749195,184618,0.002510134052019156
14,317159,0.0198224375,0.004312210108463657,438249,0.0273905625,0.005958594168300723,121090,0.0016463840598370666
15,305657,0.0191035625,0.004155824697147727,402380,0.02514875,0.005470906086359227,96723,0.0013150813892115
16,333645,0.0208528125,0.004536359812076456,426314,0.026644625,0.005796321530146,92669,0.0012599617180695443
17,356046,0.022252875,0.004840932025507872,438278,0.027392375,0.005958988462938887,82232,0.001118056437431015
18,384221,0.0240138125,0.005224009661034417,466875,0.0291796875,0.00634780376526906,82654,0.0011237941042346426
19,482844,0.03017775,0.006564924147229074,571914,0.035744625,0.007775952541065787,89070,0.0012110283938367127
20,587780,0.03673625,0.007991672497241977,681011,0.0425631875,0.009259275373471803,93231,0.0012676028762298262
21,785495,0.0490934375,0.01067987816567608,865986,0.054124125,0.011774263328450425,80491,0.0010943851627743442
22,1064225,0.0665140625,0.014469593493105146,1154069,0.0721293125,0.01569114547487079,89844,0.0012215519817656423
23,1539730,0.096233125,0.02093473390414507,1571488,0.098218,0.021366527322035114,31758,0.00043179341789004524
24,2355841,0.1472400625,0.03203087843678763,2427254,0.151703375,0.03300183578144982,71413,0.0009709573446621891
25,3497652,0.21860325,0.047555359647016564,3414339,0.2133961875,0.046422605537038815,-83313,-0.0011327541099777488
26,5063021,0.3164388125,0.06883869080039907,4736397,0.2960248125,0.06439779107985881,-326624,-0.0044408997205402645
27,7874950,0.492184375,0.1070707089934256,7209533,0.4505958125,0.09802345536435136,-665417,-0.009047253629074242
28,11709939,0.7318711875,0.15921262623886695,9611858,0.600741125,0.13068634731701534,-2098081,-0.02852627892185161
29,14355726,0.897232875,0.1951857168534853,11690623,0.7306639375,0.15894999881711608,-2665103,-0.03623571803636921
30,17196558,1.074784875,0.23381071083709296,14120221,0.8825138125,0.19198370448242302,-3076337,-0.04182700635466993
31,18094852,1.13092825,0.2460242455851917,18207345,1.137959063,0.24755374167936342,112493,0.0015294960941717173
32,12213495,0.7633434375,0.1660591583359461,16495037,1.030939813,0.22427257397987138,4281542,0.05821341564392529
33,7090208,0.443138,0.09640106889197496,10309719,0.6443574375,0.14017472147162724,3219511,0.04377365257965228
34,2194802,0.137175125,0.02984133311832945,2528006,0.158000375,0.03437169693263245,333204,0.004530363814302999
35,772752,0.048297,0.0105066196631201,618528,0.038658,0.008409733584630449,-154224,-0.0020968860784896515
36,266735,0.0166709375,0.0036266269072643483,115316,0.00720725,0.0015678786377419371,-151419,-0.0020587482695224113
37,91809,0.0057380625,0.0012482688425929577,18187,0.0011366875,0.00024727712359614115,-73622,-0.0010009917189968166
38,29820,0.00186375,0.0004054436589672254,4994,0.000312125,6.790025596520201e-05,-24826,-0.0003375434030020234
39,5198,0.000324875,7.067391479918303e-05,419,2.62e-05,5.696877703127681e-06,-4779,-6.497703709605534e-05
40,1138,7.11e-05,1.547266545622745e-05,36,2.25e-06,4.894692059966504e-07,-1102,-1.4983196250230798e-05
41,51,3.19e-06,6.934147084952548e-07,7,4.38e-07,9.517456783268202e-08,-44,-5.982401406625727e-07
